This file lists every transcription factor binding IGR proposed to regulate an operon, and statistics for the operon composition for each regulatory occurrence of the IGR
If IGR occurrence isn't associated to an operon, it isnt included when calculating statistics
IGR = ClusterID, AVG_OP_LEN = Average number of genes per operon to 3 D.P,TF = Name of TF(s) IGR binds separated by comma, TOTAL_ASSOC = Number of IGR occurrences associated to operon(s), GENE = Name of gene if known, OCC_IN_OPERON = Number of operons associated to IGR bearing gene
IGR	AVG_OP_LEN	TF	TOTAL_ASSOCS	GENE	OCC_IN_OPERON	PERCENT_OPERONS
Cluster_41361	2.0	ColR	26	arnT	9	34.615
Cluster_41361	2.0	ColR	26	Unknown_Gene	26	100.0
Cluster_41361	2.0	ColR	26	arnT_2	2	7.692
Cluster_41361	2.0	ColR	26	arnT_1	2	7.692
Cluster_27033	1.0	LexA	9	Unknown_Gene	9	100.0
Cluster_17165	2.985	ArgR	67	pntB	64	95.522
Cluster_17165	2.985	ArgR	67	Unknown_Gene	65	97.015
Cluster_17165	2.985	ArgR	67	pntAA	65	97.015
Cluster_17165	2.985	ArgR	67	pntB_1	1	1.493
Cluster_17165	2.985	ArgR	67	pntAA_1	1	1.493
Cluster_17165	2.985	ArgR	67	pntAA_2	1	1.493
Cluster_17165	2.985	ArgR	67	pntB_2	1	1.493
Cluster_17165	2.985	ArgR	67	pntA	2	2.985
Cluster_34542	1.0	PsrA	20	dmdC_1	5	25.0
Cluster_34542	1.0	PsrA	20	dmdC_2	6	30.0
Cluster_34542	1.0	PsrA	20	dmdC_3	3	15.0
Cluster_34542	1.0	PsrA	20	dmdC_4	4	20.0
Cluster_34542	1.0	PsrA	20	dmdC_5	1	5.0
Cluster_34542	1.0	PsrA	20	dmdC_6	1	5.0
Cluster_95814	2.123	Zur	106	Unknown_Gene	106	100.0
Cluster_95814	2.123	Zur	106	ytrE	49	46.226
Cluster_151158	2.021	CueR	97	hmrR	86	88.66
Cluster_151158	2.021	CueR	97	copA_1	20	20.619
Cluster_151158	2.021	CueR	97	copA_2	26	26.804
Cluster_151158	2.021	CueR	97	Unknown_Gene	2	2.062
Cluster_151158	2.021	CueR	97	copA_3	27	27.835
Cluster_151158	2.021	CueR	97	copA_4	17	17.526
Cluster_151158	2.021	CueR	97	hmrR_2	4	4.124
Cluster_151158	2.021	CueR	97	copA_5	5	5.155
Cluster_151158	2.021	CueR	97	hmrR_1	5	5.155
Cluster_151158	2.021	CueR	97	pacS	2	2.062
Cluster_151158	2.021	CueR	97	actP_1	1	1.031
Cluster_151158	2.021	CueR	97	copA_6	1	1.031
Cluster_86323	1.0	CueR	266	Unknown_Gene	133	50.0
Cluster_86323	1.0	CueR	266	copZ	133	50.0
Cluster_6843	4.825	Anr	166	cyoA	157	94.578
Cluster_6843	4.825	Anr	166	cyoB	152	91.566
Cluster_6843	4.825	Anr	166	cyoC	149	89.759
Cluster_6843	4.825	Anr	166	cyoD	149	89.759
Cluster_6843	4.825	Anr	166	cyoE	155	93.373
Cluster_6843	4.825	Anr	166	cyoE_2	1	0.602
Cluster_6843	4.825	Anr	166	cyoA_2	5	3.012
Cluster_6843	4.825	Anr	166	cyoB_2	6	3.614
Cluster_6843	4.825	Anr	166	cyoC_2	5	3.012
Cluster_6843	4.825	Anr	166	cyoD_2	5	3.012
Cluster_6843	4.825	Anr	166	cyoB_1	6	3.614
Cluster_6843	4.825	Anr	166	cyoB_3	1	0.602
Cluster_6843	4.825	Anr	166	cyoA_1	4	2.41
Cluster_6843	4.825	Anr	166	cyoC_1	3	1.807
Cluster_6843	4.825	Anr	166	cyoD_1	3	1.807
Cluster_109793	1.044	ColR	137	fecA_1	34	24.818
Cluster_109793	1.044	ColR	137	fecA	73	53.285
Cluster_109793	1.044	ColR	137	fpvA_2	1	0.73
Cluster_109793	1.044	ColR	137	fecA_2	33	24.088
Cluster_109793	1.044	ColR	137	Unknown_Gene	2	1.46
Cluster_20766	1.0	ArgR	38	dppA_3	16	42.105
Cluster_20766	1.0	ArgR	38	dppA_2	8	21.053
Cluster_20766	1.0	ArgR	38	dppA_1	6	15.789
Cluster_20766	1.0	ArgR	38	dppA_4	8	21.053
Cluster_66703	1.498	ColR	291	Unknown_Gene	147	50.515
Cluster_66703	1.498	ColR	291	czcR_3	31	10.653
Cluster_66703	1.498	ColR	291	sasA_3	14	4.811
Cluster_66703	1.498	ColR	291	sasA_17	7	2.405
Cluster_66703	1.498	ColR	291	czcR_5	22	7.56
Cluster_66703	1.498	ColR	291	czcR	6	2.062
Cluster_66703	1.498	ColR	291	sasA_4	11	3.78
Cluster_66703	1.498	ColR	291	sasA_18	10	3.436
Cluster_66703	1.498	ColR	291	czcR_4	23	7.904
Cluster_66703	1.498	ColR	291	sasA_9	7	2.405
Cluster_66703	1.498	ColR	291	czcR_1	37	12.715
Cluster_66703	1.498	ColR	291	czcR_2	24	8.247
Cluster_66703	1.498	ColR	291	sasA_7	8	2.749
Cluster_66703	1.498	ColR	291	sasA_22	1	0.344
Cluster_66703	1.498	ColR	291	sasA_14	11	3.78
Cluster_66703	1.498	ColR	291	sasA_11	9	3.093
Cluster_66703	1.498	ColR	291	sasA_5	5	1.718
Cluster_66703	1.498	ColR	291	sasA_2	14	4.811
Cluster_66703	1.498	ColR	291	sasA_8	7	2.405
Cluster_66703	1.498	ColR	291	sasA_15	7	2.405
Cluster_66703	1.498	ColR	291	sasA_16	5	1.718
Cluster_66703	1.498	ColR	291	sasA_1	5	1.718
Cluster_66703	1.498	ColR	291	sasA_12	7	2.405
Cluster_66703	1.498	ColR	291	sasA_19	2	0.687
Cluster_66703	1.498	ColR	291	sasA_6	5	1.718
Cluster_66703	1.498	ColR	291	sasA_13	6	2.062
Cluster_66703	1.498	ColR	291	sasA_10	3	1.031
Cluster_66703	1.498	ColR	291	czcR_6	1	0.344
Cluster_111397	3.0	ColR	62	Unknown_Gene	62	100.0
Cluster_111397	3.0	ColR	62	inaA	62	100.0
Cluster_44208	4.906	Fur	53	Unknown_Gene	53	100.0
Cluster_44208	4.906	Fur	53	fumC_1	33	62.264
Cluster_44208	4.906	Fur	53	sodB_2	32	60.377
Cluster_44208	4.906	Fur	53	zupT_1	33	62.264
Cluster_44208	4.906	Fur	53	zupT_2	18	33.962
Cluster_44208	4.906	Fur	53	sodB_1	19	35.849
Cluster_44208	4.906	Fur	53	fumC_2	20	37.736
Cluster_38910	1.505	PtxS	307	gapA	152	49.511
Cluster_38910	1.505	PtxS	307	edd	149	48.534
Cluster_38910	1.505	PtxS	307	glk	143	46.58
Cluster_38910	1.505	PtxS	307	edd_1	3	0.977
Cluster_38910	1.505	PtxS	307	epd_1	1	0.326
Cluster_38910	1.505	PtxS	307	glk_1	4	1.303
Cluster_38910	1.505	PtxS	307	glk_2	4	1.303
Cluster_38910	1.505	PtxS	307	gapA_1	1	0.326
Cluster_38910	1.505	PtxS	307	gapA_2	1	0.326
Cluster_38910	1.505	PtxS	307	edd_2	2	0.651
Cluster_38910	1.505	PtxS	307	epd_2	1	0.326
Cluster_38910	1.505	PtxS	307	gapA2	1	0.326
Cluster_21840	1.0	ArgR	10	argG	10	100.0
Cluster_118128	1.134	LexA	373	Unknown_Gene	238	63.807
Cluster_118128	1.134	LexA	373	dinG_2	49	13.137
Cluster_118128	1.134	LexA	373	dinG_4	39	10.456
Cluster_118128	1.134	LexA	373	dinG_3	49	13.137
Cluster_118128	1.134	LexA	373	dinG_5	12	3.217
Cluster_118128	1.134	LexA	373	dinG_6	2	0.536
Cluster_118128	1.134	LexA	373	dinG_1	33	8.847
Cluster_53435	1.008	LexA	124	Unknown_Gene	62	50.0
Cluster_53435	1.008	LexA	124	dinB	53	42.742
Cluster_53435	1.008	LexA	124	dinB_2	6	4.839
Cluster_53435	1.008	LexA	124	dinB_1	4	3.226
Cluster_4421	1.5	ArgR	136	oprD_6	15	11.029
Cluster_4421	1.5	ArgR	136	Unknown_Gene	68	50.0
Cluster_4421	1.5	ArgR	136	slyX	68	50.0
Cluster_4421	1.5	ArgR	136	oprD_9	6	4.412
Cluster_4421	1.5	ArgR	136	oprD_5	6	4.412
Cluster_4421	1.5	ArgR	136	oprD_8	6	4.412
Cluster_4421	1.5	ArgR	136	oprD_4	9	6.618
Cluster_4421	1.5	ArgR	136	oprD_2	6	4.412
Cluster_4421	1.5	ArgR	136	oprD_1	7	5.147
Cluster_4421	1.5	ArgR	136	oprD_10	2	1.471
Cluster_4421	1.5	ArgR	136	oprD_3	3	2.206
Cluster_4421	1.5	ArgR	136	oprD_7	8	5.882
Cluster_1402	1.0	AmrZ	81	algD	81	100.0
Cluster_26875	1.018	ArgR	284	estB	141	49.648
Cluster_26875	1.018	ArgR	284	yhdW	137	48.239
Cluster_26875	1.018	ArgR	284	Unknown_Gene	4	1.408
Cluster_26875	1.018	ArgR	284	yhdY	1	0.352
Cluster_26875	1.018	ArgR	284	btuD_6	1	0.352
Cluster_26875	1.018	ArgR	284	yhdW_2	3	1.056
Cluster_26875	1.018	ArgR	284	yhdW_1	1	0.352
Cluster_26875	1.018	ArgR	284	estB_2	1	0.352
Cluster_2287	13.536	ColR	166	mraZ	164	98.795
Cluster_2287	13.536	ColR	166	rsmH	164	98.795
Cluster_2287	13.536	ColR	166	ftsL	165	99.398
Cluster_2287	13.536	ColR	166	ftsI	160	96.386
Cluster_2287	13.536	ColR	166	murE	160	96.386
Cluster_2287	13.536	ColR	166	murF	158	95.181
Cluster_2287	13.536	ColR	166	mraY	153	92.169
Cluster_2287	13.536	ColR	166	murD	157	94.578
Cluster_2287	13.536	ColR	166	ftsW	157	94.578
Cluster_2287	13.536	ColR	166	murG	153	92.169
Cluster_2287	13.536	ColR	166	murC	155	93.373
Cluster_2287	13.536	ColR	166	ddl_1	7	4.217
Cluster_2287	13.536	ColR	166	ftsQ	154	92.771
Cluster_2287	13.536	ColR	166	ftsA	154	92.771
Cluster_2287	13.536	ColR	166	ddl	135	81.325
