GCA_000878325.1_UASWS0946_1.0_genomic GENE TO IGR ASSOCIATIONS

#######################################################################
SIGNIFICANT GENE CLUSTER ASSOCIATIONS OCCURRING >100x WITH FRACTION ASSOCIATED +15% HIGHER THAN EXPECTED
GENE	IGR	GENE_COUNT	ASSOC_COUNT	ASSOC_TOTAL(%)	ASSOC_EXPECTED(%)
hit	Cluster_28937	4	3	75.0	50.0
rhtA	NO_CLUSTER_ASSOCIATION_FOUND	205	135	65.854	4.0
pyrE	Cluster_130037	219	68	31.05	14.286
aroK	Cluster_167854	218	130	59.633	3.226
pilQ	Cluster_167854	216	128	59.259	3.448
rhsC	NO_CLUSTER_ASSOCIATION_FOUND	47	18	38.298	4.545
hscC_1	Cluster_57131	6	3	50.0	25.0
farR	Cluster_47308	8	3	37.5	20.0
rarA_1	Cluster_153180	29	11	37.931	7.692
yjlD	Cluster_147818	18	17	94.444	50.0
frmB	Cluster_147818	21	16	76.19	33.333
pqiA_1	NO_CLUSTER_ASSOCIATION_FOUND	217	61	28.111	1.786
pqiA_2	NO_CLUSTER_ASSOCIATION_FOUND	217	91	41.935	2.128
yebT	NO_CLUSTER_ASSOCIATION_FOUND	214	100	46.729	2.632
bamD	Cluster_153027	219	179	81.735	12.5
rluD	Cluster_153027	220	179	81.364	12.5
yfiH	Cluster_153027	217	173	79.724	12.5
ytfF_1	Cluster_133101	4	3	75.0	50.0
ytcD	Cluster_117722	4	2	50.0	33.333
atpC	Cluster_158281	220	125	56.818	9.091
atpD	Cluster_158281	216	124	57.407	11.111
atpG	Cluster_158281	217	122	56.221	9.091
atpB	Cluster_83980	217	197	90.783	14.286
recD	NO_CLUSTER_ASSOCIATION_FOUND	191	82	42.932	2.857
recB	NO_CLUSTER_ASSOCIATION_FOUND	147	55	37.415	3.704
recC	NO_CLUSTER_ASSOCIATION_FOUND	206	88	42.718	2.857
yqaA_1	Cluster_10920	33	8	24.242	8.333
rbsD_1	Cluster_26458	3	2	66.667	50.0
clpA	Cluster_166368	218	109	50.0	8.333
clpS	Cluster_166368	220	109	49.545	9.091
chaA	Cluster_85877	11	3	27.273	11.111
ghrB	Cluster_135979	8	3	37.5	16.667
kdc	Cluster_161235	3	2	66.667	50.0
redW	Cluster_137580	6	3	50.0	25.0
lhpD	Cluster_53059	7	3	42.857	20.0
hcnA_1	Cluster_82374	4	3	75.0	50.0
ligB_1	Cluster_33261	9	3	33.333	14.286
ygfF_2	Cluster_138269	4	2	50.0	33.333
rbsD_2	Cluster_33262	3	2	66.667	50.0
petE_1	Cluster_20695	4	2	50.0	33.333
pucR	Cluster_96777	7	3	42.857	25.0
yfiZ	Cluster_142928	4	3	75.0	50.0
dosC	Cluster_54459	4	3	75.0	50.0
pip_1	Cluster_64610	9	3	33.333	14.286
apxIC	Cluster_22237	4	3	75.0	50.0
fhaC	Cluster_22237	6	3	50.0	33.333
arpC_1	Cluster_91318	5	3	60.0	33.333
hcnA_2	Cluster_79052	4	3	75.0	50.0
hexR_2	Cluster_114092	218	51	23.394	5.0
recG	Cluster_120981	213	197	92.488	9.091
oxyR	Cluster_120981	149	147	98.658	33.333
dcyD_1	Cluster_62516	7	3	42.857	25.0
devR	Cluster_112085	4	3	75.0	50.0
cheW_2	Cluster_142929	8	3	37.5	16.667
ytfF_2	Cluster_80146	4	3	75.0	50.0
dcyD_2	Cluster_98843	7	3	42.857	25.0
rplQ	Cluster_159047	220	90	40.909	25.0
rpoA	Cluster_159047	219	90	41.096	25.0
rpsN	Cluster_130094	220	210	95.455	20.0
rplE	Cluster_130094	220	210	95.455	16.667
rplX	Cluster_130094	221	211	95.475	16.667
rplN	Cluster_130094	220	211	95.909	16.667
rpsQ	Cluster_130094	221	212	95.928	16.667
rpmC	Cluster_130094	221	212	95.928	16.667
rplP	Cluster_130094	220	212	96.364	20.0
rpsC	Cluster_130094	221	213	96.38	20.0
rplV	Cluster_130094	216	213	98.611	50.0
rpsS	Cluster_130094	219	213	97.26	20.0
rplB	Cluster_130094	219	214	97.717	25.0
rplW	Cluster_130094	219	215	98.174	25.0
rplD	Cluster_130094	219	216	98.63	33.333
rplC	Cluster_130094	219	218	99.543	50.0
rplL	Cluster_131227	216	180	83.333	11.111
rplA	Cluster_103434	216	203	93.981	20.0
rplK	Cluster_103434	218	206	94.495	20.0
nusG	Cluster_143496	218	172	78.899	11.111
coaX	NO_CLUSTER_ASSOCIATION_FOUND	211	95	45.024	2.703
birA	NO_CLUSTER_ASSOCIATION_FOUND	214	98	45.794	2.703
yddE_1	Cluster_122554	3	2	66.667	50.0
pdxJ	Cluster_157660	216	70	32.407	2.632
recO	Cluster_157660	218	70	32.11	2.703
ftsZ	Cluster_148650	216	204	94.444	12.5
lpxC	Cluster_107308	220	202	91.818	25.0
trkA	Cluster_144713	215	195	90.698	12.5
rsmB	Cluster_144713	216	198	91.667	12.5
fmt	Cluster_144713	207	195	94.203	20.0
pepA	NO_CLUSTER_ASSOCIATION_FOUND	215	85	39.535	5.0
hupA	Cluster_18197	8	3	37.5	20.0
hisD	Cluster_92433	220	145	65.909	11.111
pmbA	Cluster_110405	214	194	90.654	12.5
rpsA	Cluster_99481	219	66	30.137	12.5
fdm	Cluster_29246	19	7	36.842	16.667
fdnG	Cluster_49078	10	3	30.0	12.5
fdnH	Cluster_49078	8	3	37.5	20.0
rpe_1	Cluster_147878	6	3	50.0	25.0
lgrE_2	Cluster_101540	7	3	42.857	20.0
tesA	NO_CLUSTER_ASSOCIATION_FOUND	218	216	99.083	33.333
arpC_2	Cluster_41839	5	3	60.0	33.333
lgrD_1	NO_CLUSTER_ASSOCIATION_FOUND	89	25	28.09	3.03
lgrD_2	NO_CLUSTER_ASSOCIATION_FOUND	89	26	29.213	3.226
accA	Cluster_111408	208	205	98.558	33.333
amtB	Cluster_25574	7	3	42.857	20.0
rnk_2	Cluster_96782	7	3	42.857	20.0
ascD_2	Cluster_99518	10	3	30.0	12.5
ybbJ	Cluster_128858	6	3	50.0	33.333
spuD	Cluster_73386	5	3	60.0	33.333
sir_3	Cluster_68691	8	3	37.5	16.667
miaA	NO_CLUSTER_ASSOCIATION_FOUND	218	109	50.0	8.333
mutL	NO_CLUSTER_ASSOCIATION_FOUND	207	97	46.86	9.091
amiC_2	NO_CLUSTER_ASSOCIATION_FOUND	203	53	26.108	2.564
tsaE	NO_CLUSTER_ASSOCIATION_FOUND	219	108	49.315	8.333
nnr	NO_CLUSTER_ASSOCIATION_FOUND	215	105	48.837	9.091
queG	NO_CLUSTER_ASSOCIATION_FOUND	219	112	51.142	12.5
ligB_2	Cluster_108539	9	3	33.333	14.286
aceE_3	Cluster_20504	6	3	50.0	25.0
bioB	Cluster_124655	221	59	26.697	5.0
bioF	Cluster_124655	169	52	30.769	5.263
bioH	Cluster_124655	215	57	26.512	5.263
bioC	Cluster_124655	217	57	26.267	5.0
bioD1	Cluster_124655	216	55	25.463	5.0
rpoD	Cluster_140056	215	201	93.488	25.0
plsY	Cluster_134634	219	212	96.804	16.667
folB	Cluster_134634	219	211	96.347	14.286
folK_1	Cluster_134634	28	13	46.429	12.5
rsmA	Cluster_95408	213	199	93.427	12.5
pdxA	Cluster_95408	216	202	93.519	10.0
surA_2	Cluster_95408	183	91	49.727	2.857
lptD	Cluster_95408	217	205	94.47	12.5
amgK	Cluster_95408	215	204	94.884	14.286
murU	Cluster_95408	217	205	94.47	14.286
djlA	Cluster_95408	219	203	92.694	14.286
rpe_2	Cluster_100190	6	3	50.0	25.0
hmuT_1	Cluster_74946	4	2	50.0	33.333
tpiA	Cluster_141178	217	205	94.47	16.667
fur	Cluster_118568	221	217	98.19	33.333
bamE	Cluster_118568	221	217	98.19	33.333
ssrA	NO_CLUSTER_ASSOCIATION_FOUND	236	228	96.61	25.0
artI	Cluster_130909	7	3	42.857	25.0
yddE_2	Cluster_52366	3	2	66.667	50.0
oprO	Cluster_57355	7	3	42.857	20.0
rpoE	Cluster_62136	7	3	42.857	25.0
metB	Cluster_130910	5	3	60.0	33.333
fpvA_10	Cluster_133787	4	2	50.0	33.333
fpvA_11	Cluster_123276	3	2	66.667	50.0
degA	Cluster_44082	7	3	42.857	25.0
fpvA_12	Cluster_127500	3	2	66.667	50.0
prs	Cluster_145990	195	191	97.949	25.0
hmp	Cluster_80694	7	3	42.857	20.0
hscC_2	Cluster_120547	6	3	50.0	25.0
sfnF	Cluster_46764	9	3	33.333	16.667
clpP_2	Cluster_122475	198	82	41.414	1.754
hmuT_2	Cluster_8903	4	2	50.0	33.333
hemS	Cluster_8903	4	3	75.0	50.0
fdx4	Cluster_118435	5	3	60.0	33.333
petE_2	Cluster_82385	4	2	50.0	33.333
intA_3	NO_CLUSTER_ASSOCIATION_FOUND	65	12	18.462	2.439
lgrD_3	NO_CLUSTER_ASSOCIATION_FOUND	27	9	33.333	5.556

#######################################################################
