GCA_900104105.1_IMG-taxon_2600255318_annotated_assembly_genomic GENE TO IGR ASSOCIATIONS

#######################################################################
SIGNIFICANT GENE CLUSTER ASSOCIATIONS OCCURRING >100x WITH FRACTION ASSOCIATED +15% HIGHER THAN EXPECTED
GENE	IGR	GENE_COUNT	ASSOC_COUNT	ASSOC_TOTAL(%)	ASSOC_EXPECTED(%)
plsY	Cluster_134634	219	212	96.804	16.667
folB	Cluster_134634	219	211	96.347	14.286
rsmA	Cluster_95408	213	199	93.427	12.5
pdxA	Cluster_95408	216	202	93.519	10.0
surA_1	Cluster_95408	183	81	44.262	2.778
lptD	Cluster_95408	217	205	94.47	12.5
amgK	Cluster_95408	215	204	94.884	14.286
murU	Cluster_95408	217	205	94.47	14.286
djlA	Cluster_95408	219	203	92.694	14.286
pmbA	Cluster_110405	214	194	90.654	12.5
fur	Cluster_118568	221	217	98.19	33.333
bamE	Cluster_118568	221	217	98.19	33.333
lutB	Cluster_77754	7	3	42.857	25.0
ssrA	NO_CLUSTER_ASSOCIATION_FOUND	236	228	96.61	25.0
coaX	NO_CLUSTER_ASSOCIATION_FOUND	211	95	45.024	2.703
birA	NO_CLUSTER_ASSOCIATION_FOUND	214	98	45.794	2.703
clpA	Cluster_166368	218	109	50.0	8.333
clpS	Cluster_166368	220	109	49.545	9.091
rhtA	NO_CLUSTER_ASSOCIATION_FOUND	205	135	65.854	4.0
tesA	NO_CLUSTER_ASSOCIATION_FOUND	218	216	99.083	33.333
holB	Cluster_110562	17	7	41.176	16.667
plsX	Cluster_165612	218	57	26.147	4.762
rpmF	Cluster_165612	218	57	26.147	5.556
yceD	Cluster_165612	198	52	26.263	6.667
serB2	Cluster_92527	21	7	33.333	14.286
nusG	Cluster_143496	218	172	78.899	11.111
yajL	Cluster_141076	8	3	37.5	20.0
rplQ	Cluster_159047	220	90	40.909	25.0
rpoA	Cluster_159047	219	90	41.096	25.0
rpsN	Cluster_130094	220	210	95.455	20.0
rplE	Cluster_130094	220	210	95.455	16.667
rplX	Cluster_130094	221	211	95.475	16.667
rplN	Cluster_130094	220	211	95.909	16.667
rpsQ	Cluster_130094	221	212	95.928	16.667
rpmC	Cluster_130094	221	212	95.928	16.667
rplP	Cluster_130094	220	212	96.364	20.0
rpsC	Cluster_130094	221	213	96.38	20.0
rplV	Cluster_130094	216	213	98.611	50.0
rpsS	Cluster_130094	219	213	97.26	20.0
rplB	Cluster_130094	219	214	97.717	25.0
rplW	Cluster_130094	219	215	98.174	25.0
rplD	Cluster_130094	219	216	98.63	33.333
rplC	Cluster_130094	219	218	99.543	50.0
prsE_3	NO_CLUSTER_ASSOCIATION_FOUND	156	34	21.795	1.754
apxIB	NO_CLUSTER_ASSOCIATION_FOUND	123	29	23.577	4.0

#######################################################################
ALL GENE TO IGR ASSOCIATIONS ACROSS GCA_900104105.1_IMG-taxon_2600255318_annotated_assembly_genomic
GENE	IGR	GENE_COUNT	ASSOC_COUNT	ASSOC_TOTAL(%)	ASSOC_EXPECTED(%)
yceJ_1	NO_CLUSTER_ASSOCIATION_FOUND	56	1	1.786	4.167
yceI_1	NO_CLUSTER_ASSOCIATION_FOUND	12	1	8.333	11.111
rhlE_1	Cluster_50670	216	4	1.852	2.703
metF	Cluster_62000	219	1	0.457	3.125
ahcY	Cluster_30029	218	1	0.459	4.762
yfdC	Cluster_136484	201	1	0.498	4.762
nhaP	Cluster_113992	212	1	0.472	2.439
ydhP_1	Cluster_52948	207	1	0.483	1.429
yqjC	Cluster_119608	193	1	0.518	3.125
ligB	Cluster_88111	204	1	0.49	3.03
metK	Cluster_38163	215	1	0.465	3.226
COQ3_1	Cluster_38163	207	1	0.483	1.923
tktA	Cluster_38163	210	1	0.476	3.333
epd	Cluster_68074	215	1	0.465	3.125
pgk	Cluster_68074	217	1	0.461	3.125
cbbA_1	Cluster_99978	5	1	20.0	33.333
cbbA_2	Cluster_109724	5	1	20.0	33.333
alyA	Cluster_24290	7	1	14.286	20.0
rcsC_1	Cluster_24290	221	1	0.452	0.769
ygjP	Cluster_24290	219	1	0.457	2.5
elaA	Cluster_41905	187	1	0.535	3.226
yccS	Cluster_110384	214	1	0.467	3.125
dbpA_1	Cluster_102680	31	1	3.226	5.556
hsrA	Cluster_83334	102	1	0.98	4.167
betA	Cluster_95792	45	1	2.222	6.25
betB	Cluster_111869	127	1	0.787	6.25
betI_1	Cluster_16603	194	1	0.515	2.381
caiT	Cluster_16603	194	3	1.546	5.556
btuD_1	Cluster_134254	221	1	0.452	1.124
opuAB_1	Cluster_134254	211	1	0.474	2.564
sdaA	Cluster_15993	80	3	3.75	3.333
cdhR_1	Cluster_13554	221	1	0.452	1.031
lcdH_1	Cluster_89928	216	1	0.463	1.786
lcdH_2	Cluster_138765	216	1	0.463	1.818
kce	Cluster_134997	85	1	1.176	4.167
cdhR_2	Cluster_63209	221	1	0.452	1.01
stcD	Cluster_133550	137	1	0.73	5.882
fixB	Cluster_83957	213	1	0.469	2.632
hcr	Cluster_33563	204	1	0.49	4.545
ltaE_1	Cluster_97887	12	1	8.333	11.111
glyA_1	Cluster_80517	219	1	0.457	1.471
soxB_1	Cluster_80517	151	1	0.662	1.786
soxD	Cluster_80517	107	1	0.935	3.333
soxA_1	Cluster_80517	142	1	0.704	2.381
soxG	Cluster_85699	210	1	0.476	3.125
purU_1	Cluster_85699	219	1	0.457	1.562
fdhA_1	Cluster_96523	94	1	1.064	2.5
yihG_1	Cluster_39590	16	1	6.25	7.692
creB	Cluster_48711	177	1	0.565	2.941
creC	Cluster_48711	168	1	0.595	2.941
creD	Cluster_129941	178	1	0.562	3.125
yibF_1	Cluster_142632	6	1	16.667	20.0
fhuA_1	Cluster_69507	210	1	0.476	1.22
fecR_1	Cluster_82753	220	1	0.455	0.943
fecI_1	Cluster_82753	221	1	0.452	0.917
polC_1	Cluster_41093	39	1	2.564	7.143
rssB_1	Cluster_41093	221	1	0.452	1.515
glcB	Cluster_14656	124	1	0.806	5.556
rarD_1	Cluster_141896	220	1	0.455	2.083
srkA	Cluster_106229	194	1	0.515	2.273
modE	Cluster_148419	187	1	0.535	3.03
bioB	Cluster_123475	221	3	1.357	5.0
bioF	Cluster_140285	169	1	0.592	5.263
bioH	Cluster_140285	215	1	0.465	5.263
bioC	Cluster_140285	217	1	0.461	5.0
bioD1	Cluster_140285	216	1	0.463	5.0
dmdC_1	Cluster_29702	221	1	0.452	1.266
dmdC_2	Cluster_124526	221	1	0.452	1.389
dmdC_3	Cluster_66688	214	1	0.467	1.408
cynR_1	Cluster_73759	219	1	0.457	1.316
argD_1	Cluster_73759	218	1	0.459	1.724
pqqE	Cluster_29191	205	1	0.488	2.941
pqqD	Cluster_29191	109	1	0.917	3.571
pqqC	Cluster_29191	209	1	0.478	2.778
pqqB	Cluster_29191	209	3	1.435	3.846
ramA_1	Cluster_163094	178	1	0.562	1.667
iaaM	Cluster_163094	156	1	0.641	2.326
lrp_1	Cluster_74742	221	1	0.452	1.351
rpoD	Cluster_140483	215	9	4.186	25.0
dnaG	Cluster_12805	187	3	1.604	5.263
rpsU	Cluster_60077	219	7	3.196	12.5
tsaD	Cluster_60077	218	7	3.211	12.5
plsY	Cluster_134634	219	212	96.804	16.667
folB	Cluster_134634	219	211	96.347	14.286
cca	Cluster_144357	215	1	0.465	4.348
glpE	Cluster_167047	87	1	1.149	4.348
apaH_1	Cluster_167047	211	1	0.474	1.887
apaG	Cluster_167047	220	1	0.455	2.128
rsmA	Cluster_95408	213	199	93.427	12.5
pdxA	Cluster_95408	216	202	93.519	10.0
surA_1	Cluster_95408	183	81	44.262	2.778
lptD	Cluster_95408	217	205	94.47	12.5
amgK	Cluster_95408	215	204	94.884	14.286
murU	Cluster_95408	217	205	94.47	14.286
djlA	Cluster_95408	219	203	92.694	14.286
mltF_1	Cluster_135449	220	1	0.455	1.282
uvrY	Cluster_135449	184	1	0.543	4.762
potA_1	Cluster_53301	220	1	0.455	1.333
