GCA_903684265.1_assembly_BB1464_genomic GENE TO IGR ASSOCIATIONS

#######################################################################
SIGNIFICANT GENE CLUSTER ASSOCIATIONS OCCURRING >100x WITH FRACTION ASSOCIATED +15% HIGHER THAN EXPECTED
GENE	IGR	GENE_COUNT	ASSOC_COUNT	ASSOC_TOTAL(%)	ASSOC_EXPECTED(%)
kbl	Cluster_5213	17	8	47.059	11.111
menF	Cluster_141776	11	7	63.636	20.0
lfrA	Cluster_120067	17	11	64.706	14.286
yenB	Cluster_40630	24	10	41.667	9.091
gntK	Cluster_56514	16	13	81.25	50.0
moaC_1	Cluster_142035	22	6	27.273	11.111
appB	Cluster_142825	37	10	27.027	6.667
fan1_1	Cluster_75855	8	7	87.5	50.0
fan1_2	Cluster_75855	8	7	87.5	50.0
bluF	Cluster_888	44	10	22.727	5.263
uhpC_1	Cluster_56159	16	7	43.75	20.0
gbpR	Cluster_95209	42	11	26.19	5.882
cuyA_1	Cluster_69597	11	8	72.727	33.333
rutB_1	Cluster_55806	32	8	25.0	5.263
ohrB_1	Cluster_26014	17	8	47.059	12.5
elfC	Cluster_128050	23	10	43.478	9.091
fimA	Cluster_115556	42	10	23.81	8.333
gsiD	Cluster_76849	51	13	25.49	6.25
hchA_1	Cluster_70117	40	8	20.0	4.762
adhB	Cluster_69433	45	10	22.222	6.667
mobA	Cluster_143809	186	134	72.043	4.348
pulG	Cluster_139718	45	12	26.667	5.556
yjdF	Cluster_99434	35	10	28.571	8.333
yjbI	Cluster_124675	16	13	81.25	25.0
tadA_1	Cluster_81167	45	9	20.0	3.704
pstS	Cluster_60445	41	10	24.39	6.667
recG	Cluster_120981	213	197	92.488	9.091
oxyR_1	Cluster_120981	72	24	33.333	3.846
yabJ_1	Cluster_146836	200	38	19.0	2.128
spoT	Cluster_146836	218	158	72.477	6.667
pyrE	Cluster_130037	219	68	31.05	14.286
clsC_1	Cluster_146087	16	7	43.75	16.667
cmpB_1	Cluster_100756	12	7	58.333	25.0
assT	Cluster_62455	96	83	86.458	14.286
soxC	Cluster_119012	38	10	26.316	5.882
betT2_1	Cluster_32044	32	7	21.875	6.667
tauD	Cluster_76843	16	8	50.0	14.286
paaI	Cluster_48554	49	13	26.531	6.25
yrfG	Cluster_142265	220	202	91.818	9.091
nudE_1	Cluster_142265	14	7	50.0	25.0
cysQ	Cluster_142265	197	183	92.893	11.111
mdtJ	Cluster_15113	19	10	52.632	20.0
mdtI	Cluster_15113	19	10	52.632	20.0
proV	Cluster_121800	28	11	39.286	9.091
stcD	Cluster_132431	137	101	73.723	5.882
bioB	Cluster_124271	221	118	53.394	5.0
bioF	Cluster_124271	169	72	42.604	5.263
bioH	Cluster_124271	215	111	51.628	5.263
bioC	Cluster_124271	217	111	51.152	5.0
yfcG	Cluster_87273	21	9	42.857	12.5
zupT	Cluster_99427	52	13	25.0	7.692
fadJ_1	Cluster_34175	51	10	19.608	4.348
ohrB_2	Cluster_96661	17	8	47.059	11.111
yofA_1	Cluster_113573	69	31	44.928	7.692
copD	Cluster_89089	18	8	44.444	11.111
copC	Cluster_89089	17	8	47.059	12.5
cadI	Cluster_481	9	7	77.778	50.0
zntR_1	Cluster_154699	10	9	90.0	50.0
gstB	Cluster_66040	22	12	54.545	10.0
cbbZP	Cluster_925	13	10	76.923	50.0
tmk	Cluster_81968	40	10	25.0	7.143
leuC	Cluster_95132	174	113	64.943	8.333
leuD1	Cluster_95132	192	125	65.104	7.692
cuyA_2	Cluster_136630	11	8	72.727	33.333
degU	Cluster_21949	38	10	26.316	5.882
topA	Cluster_116220	185	164	88.649	10.0
sigE	Cluster_70572	27	10	37.037	7.143
guaA	Cluster_132169	209	71	33.971	8.333
nhaP2_1	Cluster_139617	149	47	31.544	2.857
xerD_1	Cluster_139617	18	8	44.444	11.111
namA	Cluster_164	27	8	29.63	5.882
lpxD	Cluster_131515	80	38	47.5	12.5
fabZ	Cluster_106679	218	198	90.826	9.091
lpxA	Cluster_106679	216	194	89.815	7.692
lpxB	Cluster_106679	215	188	87.442	6.25
rnhB	Cluster_106679	215	188	87.442	6.25
accA	Cluster_111408	208	205	98.558	33.333
pyrG	Cluster_37547	210	197	93.81	12.5
kdsA	Cluster_37547	151	116	76.821	7.692
rpoS	Cluster_110439	198	143	72.222	7.692
fdxA	Cluster_89022	214	182	85.047	8.333
rsuA_1	Cluster_100098	16	9	56.25	14.286
proS	Cluster_76846	217	160	73.733	5.263
aspS	Cluster_120361	219	183	83.562	5.882
cpoB	Cluster_59340	219	108	49.315	10.0
queE	Cluster_71029	217	166	76.498	5.882
queC	Cluster_71029	203	156	76.847	6.25
lysP	Cluster_11985	16	10	62.5	25.0
aspC_1	Cluster_41403	30	10	33.333	6.667
hisQ_2	Cluster_122878	209	39	18.66	2.703
hisP_1	Cluster_122878	51	13	25.49	3.846
ttuB	Cluster_142031	18	14	77.778	33.333
ycgR	Cluster_129350	218	173	79.358	6.25
fliO	Cluster_89709	37	10	27.027	11.111
kipR	Cluster_60443	55	13	23.636	6.667
yfdG	Cluster_112671	37	10	27.027	6.667
yfdH	Cluster_112671	38	10	26.316	6.667
moaC_2	Cluster_75288	22	6	27.273	9.091
moaD_2	Cluster_75288	24	6	25.0	8.333
dauR	Cluster_135472	73	14	19.178	3.704
dauB	Cluster_47006	28	10	35.714	7.692
cysD_1	Cluster_53712	21	8	38.095	12.5
cysNC_1	Cluster_53712	18	8	44.444	14.286
pys1	NO_CLUSTER_ASSOCIATION_FOUND	10	7	70.0	25.0
tas	Cluster_40381	186	168	90.323	16.667
rplM	Cluster_40381	219	189	86.301	8.333
rpsI	Cluster_40381	217	188	86.636	8.333
ftsZ	Cluster_148650	216	204	94.444	12.5
lpxC	Cluster_107308	220	202	91.818	25.0
cobO	Cluster_119355	14	9	64.286	20.0
acrB	Cluster_63275	49	10	20.408	3.571
sodB	Cluster_41404	18	10	55.556	16.667
msr(E)	Cluster_17825	8	7	87.5	50.0
tetR_1	Cluster_17825	10	7	70.0	33.333
mdtL	Cluster_6239	42	18	42.857	5.556
adeQ	Cluster_38440	40	10	25.0	7.143
fklB	Cluster_121796	31	14	45.161	20.0
ispB	Cluster_44300	217	199	91.705	12.5
rplU	Cluster_44300	218	112	51.376	10.0
rpmA	Cluster_44300	219	112	51.142	10.0
obg	Cluster_62433	216	187	86.574	10.0
proB	Cluster_125715	215	182	84.651	7.143
can	Cluster_152426	39	14	35.897	5.882
dapH	Cluster_100757	32	10	31.25	7.143
aaeX_1	Cluster_135616	25	7	28.0	6.667
ychF	Cluster_130392	217	194	89.401	9.091
pth	Cluster_130392	215	195	90.698	10.0
prs	Cluster_145990	195	191	97.949	25.0
uraA	Cluster_74070	217	64	29.493	8.333
upp	Cluster_74070	218	65	29.817	7.143
hpt	Cluster_74070	220	66	30.0	6.667
yedK_1	Cluster_98550	199	39	19.598	1.923
norR2	Cluster_80061	45	10	22.222	5.0
dnaC_1	Cluster_92900	15	6	40.0	11.111
aroP	Cluster_5593	14	9	64.286	20.0
adeP	Cluster_23150	42	13	30.952	9.091
gltA	Cluster_22437	219	198	90.411	11.111
sdhC	Cluster_22437	211	190	90.047	11.111
sdhD	Cluster_22437	219	198	90.411	11.111
sdhA	Cluster_22437	179	164	91.62	16.667
sdhB	Cluster_22437	220	197	89.545	12.5
sucA	Cluster_44265	216	91	42.13	9.091
sucB	Cluster_44265	218	87	39.908	9.091
sucC	Cluster_71437	216	188	87.037	10.0
sucD	Cluster_71437	217	185	85.253	8.333
clsC_2	Cluster_15260	16	7	43.75	14.286
rhtA	NO_CLUSTER_ASSOCIATION_FOUND	205	135	65.854	4.0
acpP_3	Cluster_9153	27	7	25.926	7.143
gltD	Cluster_100759	41	10	24.39	6.667
aroK	Cluster_167854	218	130	59.633	3.226
pilQ	Cluster_167854	216	128	59.259	3.448
maeB	Cluster_67998	201	153	76.119	5.882
ftsX	Cluster_48480	218	114	52.294	6.25
ftsE	Cluster_48480	217	114	52.535	7.143
ftsY	Cluster_48480	218	112	51.376	6.667
rsmD	Cluster_48480	220	105	47.727	6.25
fdx_1	Cluster_110500	218	40	18.349	3.125
zntR_2	Cluster_108434	10	7	70.0	25.0
thyA	Cluster_153038	205	111	54.146	4.762
yjiK	Cluster_142032	45	10	22.222	5.263
maa	Cluster_125489	197	79	40.102	6.25
spuE_4	Cluster_86404	27	8	29.63	7.143
hxcR	Cluster_96663	17	7	41.176	14.286
ubiI	Cluster_81745	216	67	31.019	4.167
ubiH	Cluster_81745	215	68	31.628	4.348
pepP	Cluster_81745	214	71	33.178	4.545
zapA	Cluster_81745	220	71	32.273	5.0
qorA_2	Cluster_71103	215	57	26.512	2.041
aaeX_2	Cluster_72405	25	7	28.0	6.667
typA	Cluster_97279	219	179	81.735	7.692
blc	Cluster_52144	26	13	50.0	10.0
dasR	Cluster_109837	119	94	78.992	10.0
ves	Cluster_109837	218	176	80.734	8.333
mdoG	Cluster_34557	218	133	61.009	6.25
opgH	Cluster_34557	212	127	59.906	6.25
tatC	Cluster_76075	42	13	30.952	7.143
tatB	Cluster_76075	44	13	29.545	6.667
tatA	Cluster_76075	41	13	31.707	7.143
yqjC_1	Cluster_102107	23	8	34.783	11.111
yqjC_2	Cluster_146074	23	9	39.13	10.0
dbpA	Cluster_142042	190	160	84.211	11.111
psd	Cluster_95532	219	174	79.452	7.692
rhdA	Cluster_95532	218	175	80.275	7.692
motA	Cluster_95532	214	177	82.71	8.333
