GENES WITH MULTIPLE OCCURRENCES(Gene -> Occurrence)
Unknown_Gene	2243
*****************************************************
LOCUS TAG TO GENE LIST
Operon1	NMOILELG_00001	htpX	Cluster_43325
Operon2	NMOILELG_00002	alaA	Cluster_76069
Operon3	NMOILELG_00003	msrB	Cluster_76069
Operon3	NMOILELG_00004	gpx1	Cluster_76069
Operon4	NMOILELG_00005	rcsC_1	Cluster_33126
Operon5	NMOILELG_00006	msrC	Cluster_33126
Operon6	NMOILELG_00007	Unknown_Gene	Cluster_29727
Operon7	NMOILELG_00008	Unknown_Gene	Cluster_29727
Operon7	NMOILELG_00009	Unknown_Gene	Cluster_29727
Operon8	NMOILELG_00010	Unknown_Gene	Cluster_124985
Operon8	NMOILELG_00011	Unknown_Gene	Cluster_124985
Operon9	NMOILELG_00012	Unknown_Gene	Cluster_128382
Operon10	NMOILELG_00013	Unknown_Gene	Cluster_117924
Operon11	NMOILELG_00014	fadE	Cluster_66040
Operon12	NMOILELG_00015	gstB	Cluster_66040
Operon13	NMOILELG_00016	yadG	Cluster_89067
Operon13	NMOILELG_00017	yadH	Cluster_89067
Operon14	NMOILELG_00018	Unknown_Gene	Cluster_87906
Operon15	NMOILELG_00019	comEC	Cluster_87906
Operon15	NMOILELG_00020	tolQ_1	Cluster_87906
Operon15	NMOILELG_00021	tolR	Cluster_87906
Operon15	NMOILELG_00022	lpxK	Cluster_87906
Operon15	NMOILELG_00023	Unknown_Gene	Cluster_87906
Operon15	NMOILELG_00024	kdsB	Cluster_87906
Operon15	NMOILELG_00025	Unknown_Gene	Cluster_87906
Operon15	NMOILELG_00026	murB	Cluster_87906
Operon16	NMOILELG_00027	rne	Cluster_149581
Operon17	NMOILELG_00028	Unknown_Gene	Cluster_149581
Operon18	NMOILELG_00029	rluC	Cluster_45208
Operon18	NMOILELG_00030	cbbZP	Cluster_45208
Operon18	NMOILELG_00031	Unknown_Gene	Cluster_45208
Operon19	NMOILELG_00032	yceF	Cluster_119728
Operon20	NMOILELG_00033	yceD	Cluster_119728
Operon20	NMOILELG_00034	rpmF	Cluster_119728
Operon20	NMOILELG_00035	plsX	Cluster_119728
Operon21	NMOILELG_00036	fabD	Cluster_100107
Operon21	NMOILELG_00037	fabG_1	Cluster_100107
Operon22	NMOILELG_00038	acpP_1	Cluster_57313
Operon23	NMOILELG_00039	fabF_1	Cluster_81968
Operon23	NMOILELG_00040	pabC	Cluster_81968
Operon23	NMOILELG_00041	mltG	Cluster_81968
Operon23	NMOILELG_00042	tmk	Cluster_81968
Operon23	NMOILELG_00043	Unknown_Gene	Cluster_81968
Operon23	NMOILELG_00044	ycfH	Cluster_81968
Operon24	NMOILELG_00045	Unknown_Gene	Cluster_16987
Operon25	NMOILELG_00046	moaA_1	Cluster_110850
Operon26	NMOILELG_00047	Unknown_Gene	Cluster_141210
Operon26	NMOILELG_00048	Unknown_Gene	Cluster_141210
Operon27	NMOILELG_00049	Unknown_Gene	Cluster_144738
Operon28	NMOILELG_00050	tyrB_1	Cluster_34577
Operon29	NMOILELG_00051	uvrB	Cluster_34577
Operon30	NMOILELG_00052	emrB_1	Cluster_87628
Operon30	NMOILELG_00053	emrA_1	Cluster_87628
Operon31	NMOILELG_00054	gltX	Cluster_87628
Operon32	NMOILELG_00055	Unknown_Gene	Cluster_34848
Operon33	NMOILELG_00056	Unknown_Gene	Cluster_131839
Operon34	NMOILELG_00057	Unknown_Gene	Cluster_153500
Operon34	NMOILELG_00058	Unknown_Gene	Cluster_153500
Operon35	NMOILELG_00059	Unknown_Gene	Cluster_138657
Operon35	NMOILELG_00060	Unknown_Gene	Cluster_138657
Operon36	NMOILELG_00061	Unknown_Gene	Cluster_72614
Operon36	NMOILELG_00062	rutD	Cluster_72614
Operon36	NMOILELG_00063	Unknown_Gene	Cluster_72614
Operon37	NMOILELG_00064	dusC	Cluster_153446
Operon38	NMOILELG_00065	ibpA	Cluster_79781
Operon39	NMOILELG_00066	Unknown_Gene	Cluster_148144
Operon40	NMOILELG_00067	cmpR_1	Cluster_88289
Operon41	NMOILELG_00068	leuC	Cluster_88289
Operon41	NMOILELG_00069	leuD1	Cluster_88289
Operon42	NMOILELG_00070	leuB	Cluster_105286
Operon43	NMOILELG_00071	asd	Cluster_142783
Operon44	NMOILELG_00072	usg	Cluster_31788
Operon45	NMOILELG_00073	Unknown_Gene	Cluster_137472
Operon46	NMOILELG_00074	truA	Cluster_123503
Operon47	NMOILELG_00075	trpF	Cluster_146072
Operon48	NMOILELG_00076	accD	Cluster_58467
Operon48	NMOILELG_00077	folC	Cluster_58467
Operon48	NMOILELG_00078	dedD	Cluster_58467
Operon49	NMOILELG_00079	Unknown_Gene	Cluster_67409
Operon49	NMOILELG_00080	purF	Cluster_67409
Operon49	NMOILELG_00081	metZ	Cluster_67409
Operon49	NMOILELG_00082	Unknown_Gene	Cluster_67409
Operon50	NMOILELG_00083	Unknown_Gene	Cluster_51125
Operon51	NMOILELG_00084	Unknown_Gene	Cluster_132206
Operon52	NMOILELG_00085	Unknown_Gene	Cluster_117619
Operon53	NMOILELG_00086	Unknown_Gene	Cluster_91501
Operon54	NMOILELG_00087	Unknown_Gene	Cluster_59016
Operon55	NMOILELG_00088	Unknown_Gene	Cluster_76841
Operon55	NMOILELG_00089	Unknown_Gene	Cluster_76841
Operon56	NMOILELG_00090	fadH	Cluster_76841
Operon57	NMOILELG_00091	Unknown_Gene	Cluster_56437
Operon58	NMOILELG_00092	cuyA	Cluster_136214
Operon59	NMOILELG_00093	yodB	Cluster_101081
Operon60	NMOILELG_00094	Unknown_Gene	NO_CLUSTER_ASSOCIATION_FOUND
Operon61	NMOILELG_00095	nadK	NO_CLUSTER_ASSOCIATION_FOUND
Operon61	NMOILELG_00096	apaH_1	NO_CLUSTER_ASSOCIATION_FOUND
Operon61	NMOILELG_00097	glpG	NO_CLUSTER_ASSOCIATION_FOUND
Operon61	NMOILELG_00098	Unknown_Gene	NO_CLUSTER_ASSOCIATION_FOUND
Operon61	NMOILELG_00099	Unknown_Gene	NO_CLUSTER_ASSOCIATION_FOUND
Operon61	NMOILELG_00100	pepN	NO_CLUSTER_ASSOCIATION_FOUND
Operon62	NMOILELG_00101	hcf136_1	Cluster_29469
Operon62	NMOILELG_00102	Unknown_Gene	Cluster_29469
Operon63	NMOILELG_00103	Unknown_Gene	Cluster_136215
Operon63	NMOILELG_00104	pgl_1	Cluster_136215
Operon64	NMOILELG_00105	Unknown_Gene	Cluster_100754
Operon65	NMOILELG_00106	Unknown_Gene	Cluster_153501
Operon65	NMOILELG_00107	Unknown_Gene	Cluster_153501
Operon65	NMOILELG_00108	sbcD	Cluster_153501
Operon66	NMOILELG_00109	Unknown_Gene	Cluster_27443
Operon66	NMOILELG_00110	Unknown_Gene	Cluster_27443
Operon66	NMOILELG_00111	Unknown_Gene	Cluster_27443
Operon66	NMOILELG_00112	Unknown_Gene	Cluster_27443
Operon66	NMOILELG_00113	Unknown_Gene	Cluster_27443
Operon66	NMOILELG_00114	Unknown_Gene	Cluster_27443
Operon67	NMOILELG_00115	lhgD_1	Cluster_114456
Operon68	NMOILELG_00116	lutR_1	Cluster_83739
Operon69	NMOILELG_00117	Unknown_Gene	Cluster_26013
Operon70	NMOILELG_00118	gdhB	Cluster_26013
Operon71	NMOILELG_00119	ppsR	Cluster_69094
Operon72	NMOILELG_00120	ppsA	Cluster_69094
Operon73	NMOILELG_00121	Unknown_Gene	Cluster_119716
Operon74	NMOILELG_00122	Unknown_Gene	Cluster_80864
Operon74	NMOILELG_00123	zntB	Cluster_80864
Operon75	NMOILELG_00124	Unknown_Gene	Cluster_108095
Operon75	NMOILELG_00125	Unknown_Gene	Cluster_108095
Operon76	NMOILELG_00126	Unknown_Gene	Cluster_103412
Operon77	NMOILELG_00127	oprF	Cluster_109336
Operon78	NMOILELG_00128	pyrD	Cluster_46236
Operon79	NMOILELG_00129	rmf	Cluster_8937
Operon80	NMOILELG_00130	rlmL	Cluster_8937
Operon81	NMOILELG_00131	Unknown_Gene	Cluster_119347
Operon82	NMOILELG_00132	Unknown_Gene	Cluster_153026
Operon83	NMOILELG_00133	Unknown_Gene	Cluster_97109
Operon84	NMOILELG_00134	Unknown_Gene	NO_CLUSTER_ASSOCIATION_FOUND
Operon84	NMOILELG_00135	Unknown_Gene	NO_CLUSTER_ASSOCIATION_FOUND
Operon85	NMOILELG_00136	ftsH_1	NO_CLUSTER_ASSOCIATION_FOUND
Operon85	NMOILELG_00137	Unknown_Gene	NO_CLUSTER_ASSOCIATION_FOUND
Operon86	NMOILELG_00138	norR_1	Cluster_26070
Operon87	NMOILELG_00139	Unknown_Gene	Cluster_26070
Operon87	NMOILELG_00140	Unknown_Gene	Cluster_26070
Operon87	NMOILELG_00141	Unknown_Gene	Cluster_26070
Operon88	NMOILELG_00142	gltR_1	Cluster_46855
Operon89	NMOILELG_00143	alkJ	Cluster_46855
Operon90	NMOILELG_00144	nanT_1	Cluster_120063
Operon91	NMOILELG_00145	Unknown_Gene	Cluster_142808
Operon92	NMOILELG_00146	gmhB	Cluster_165851
Operon92	NMOILELG_00147	glyS	Cluster_165851
Operon92	NMOILELG_00148	glyQ	Cluster_165851
Operon93	NMOILELG_00149	tag	Cluster_126047
Operon93	NMOILELG_00150	lpxP	Cluster_126047
Operon94	NMOILELG_00151	Unknown_Gene	Cluster_144713
Operon94	NMOILELG_00152	trkA	Cluster_144713
Operon94	NMOILELG_00153	rsmB	Cluster_144713
Operon94	NMOILELG_00154	fmt	Cluster_144713
Operon95	NMOILELG_00155	def_1	Cluster_56509
Operon96	NMOILELG_00156	Unknown_Gene	Cluster_56509
Operon96	NMOILELG_00157	tsaC	Cluster_56509
Operon97	NMOILELG_00158	Unknown_Gene	Cluster_23853
Operon98	NMOILELG_00159	qorA_1	Cluster_94136
Operon99	NMOILELG_00160	hemF	Cluster_94136
Operon99	NMOILELG_00161	aroE_1	Cluster_94136
Operon100	NMOILELG_00162	dauA_1	Cluster_99720
Operon101	NMOILELG_00163	Unknown_Gene	Cluster_109371
Operon101	NMOILELG_00164	betC	Cluster_109371
Operon102	NMOILELG_00165	gcvA_1	Cluster_109371
Operon103	NMOILELG_00166	Unknown_Gene	Cluster_150941
Operon104	NMOILELG_00167	Unknown_Gene	Cluster_150941
Operon105	NMOILELG_00168	trpA	Cluster_55956
Operon105	NMOILELG_00169	trpB	Cluster_55956
Operon106	NMOILELG_00170	trpI_1	Cluster_55956
Operon107	NMOILELG_00171	yqjD_1	NO_CLUSTER_ASSOCIATION_FOUND
Operon108	NMOILELG_00172	Unknown_Gene	NO_CLUSTER_ASSOCIATION_FOUND
Operon109	NMOILELG_00173	Unknown_Gene	Cluster_153499
Operon110	NMOILELG_00174	Unknown_Gene	Cluster_112672
Operon111	NMOILELG_00175	limB	Cluster_82854
Operon112	NMOILELG_00176	osmC	Cluster_82854
Operon113	NMOILELG_00177	Unknown_Gene	Cluster_138499
Operon114	NMOILELG_00178	Unknown_Gene	Cluster_132601
Operon115	NMOILELG_00179	Unknown_Gene	Cluster_141193
Operon116	NMOILELG_00180	Unknown_Gene	Cluster_141193
Operon117	NMOILELG_00181	Unknown_Gene	Cluster_124984
Operon118	NMOILELG_00182	yrdA_1	Cluster_114841
Operon119	NMOILELG_00183	prlC_1	Cluster_114841
Operon119	NMOILELG_00184	Unknown_Gene	Cluster_114841
Operon120	NMOILELG_00185	prlC_2	Cluster_98350
Operon121	NMOILELG_00186	Unknown_Gene	Cluster_141596
Operon122	NMOILELG_00187	Unknown_Gene	Cluster_19960
Operon122	NMOILELG_00188	Unknown_Gene	Cluster_19960
Operon123	NMOILELG_00189	Unknown_Gene	Cluster_106663
Operon123	NMOILELG_00190	hlyD	Cluster_106663
Operon123	NMOILELG_00191	apxIB_1	Cluster_106663
Operon124	NMOILELG_00192	tolC_1	Cluster_15832
Operon125	NMOILELG_00193	cynT_1	Cluster_15832
Operon126	NMOILELG_00194	dauA_2	Cluster_65415
Operon127	NMOILELG_00195	Unknown_Gene	Cluster_21149
Operon128	NMOILELG_00196	Unknown_Gene	Cluster_21149
Operon128	NMOILELG_00197	ctaD	Cluster_21149
Operon128	NMOILELG_00198	ctaG	Cluster_21149
Operon128	NMOILELG_00199	ctaE	Cluster_21149
Operon129	NMOILELG_00200	Unknown_Gene	Cluster_144033
