GENES WITH MULTIPLE OCCURRENCES(Gene -> Occurrence)
Unknown_Gene	2171
*****************************************************
LOCUS TAG TO GENE LIST
Operon1	ALBICJPK_00001	bauC	Cluster_135751
Operon2	ALBICJPK_00002	Unknown_Gene	Cluster_104134
Operon3	ALBICJPK_00003	metR_1	Cluster_104134
Operon4	ALBICJPK_00004	rutR_1	Cluster_123764
Operon4	ALBICJPK_00005	yigZ	Cluster_123764
Operon5	ALBICJPK_00006	Unknown_Gene	Cluster_22088
Operon6	ALBICJPK_00007	Unknown_Gene	Cluster_126676
Operon7	ALBICJPK_00008	Unknown_Gene	Cluster_5935
Operon8	ALBICJPK_00009	bcr_1	Cluster_111759
Operon9	ALBICJPK_00010	copZ	Cluster_86323
Operon10	ALBICJPK_00011	Unknown_Gene	Cluster_86323
Operon11	ALBICJPK_00012	copA_1	Cluster_151158
Operon11	ALBICJPK_00013	hmrR	Cluster_151158
Operon12	ALBICJPK_00014	mcpH_1	Cluster_74262
Operon13	ALBICJPK_00015	nimR_1	Cluster_120350
Operon14	ALBICJPK_00016	fadI	Cluster_98787
Operon15	ALBICJPK_00017	Unknown_Gene	Cluster_98787
Operon15	ALBICJPK_00018	Unknown_Gene	Cluster_98787
Operon16	ALBICJPK_00019	Unknown_Gene	Cluster_132153
Operon16	ALBICJPK_00020	cmoM	Cluster_132153
Operon16	ALBICJPK_00021	Unknown_Gene	Cluster_132153
Operon16	ALBICJPK_00022	Unknown_Gene	Cluster_132153
Operon17	ALBICJPK_00023	Unknown_Gene	Cluster_37021
Operon18	ALBICJPK_00024	tmoT_1	Cluster_103442
Operon19	ALBICJPK_00025	hxuB	Cluster_122362
Operon20	ALBICJPK_00026	pbpC	Cluster_132891
Operon21	ALBICJPK_00027	Unknown_Gene	Cluster_132891
Operon22	ALBICJPK_00028	yfhM	Cluster_35805
Operon23	ALBICJPK_00029	dinF	Cluster_35805
Operon24	ALBICJPK_00030	speA	Cluster_82415
Operon25	ALBICJPK_00031	yciH	Cluster_46357
Operon26	ALBICJPK_00032	yfcD	Cluster_38464
Operon26	ALBICJPK_00033	Unknown_Gene	Cluster_38464
Operon27	ALBICJPK_00034	pleD_1	Cluster_38464
Operon28	ALBICJPK_00035	ctpL	Cluster_44876
Operon29	ALBICJPK_00036	dsbD_1	Cluster_64081
Operon30	ALBICJPK_00037	aroQ1	Cluster_68560
Operon31	ALBICJPK_00038	accB	Cluster_115327
Operon31	ALBICJPK_00039	accC	Cluster_115327
Operon32	ALBICJPK_00040	acoR_1	Cluster_35355
Operon33	ALBICJPK_00041	Unknown_Gene	Cluster_35355
Operon33	ALBICJPK_00042	acoA	Cluster_35355
Operon33	ALBICJPK_00043	acoB	Cluster_35355
Operon33	ALBICJPK_00044	acoC	Cluster_35355
Operon33	ALBICJPK_00045	ydjJ	Cluster_35355
Operon34	ALBICJPK_00046	Unknown_Gene	Cluster_54738
Operon34	ALBICJPK_00047	Unknown_Gene	Cluster_54738
Operon35	ALBICJPK_00048	Unknown_Gene	Cluster_139511
Operon35	ALBICJPK_00049	ubiX	Cluster_139511
Operon35	ALBICJPK_00050	mpl	Cluster_139511
Operon36	ALBICJPK_00051	acoR_2	Cluster_42098
Operon37	ALBICJPK_00052	adh_1	Cluster_42098
Operon38	ALBICJPK_00053	potE	Cluster_49991
Operon38	ALBICJPK_00054	eutB	Cluster_49991
Operon38	ALBICJPK_00055	eutC	Cluster_49991
Operon39	ALBICJPK_00056	Unknown_Gene	Cluster_110547
Operon40	ALBICJPK_00057	dedA	Cluster_64118
Operon40	ALBICJPK_00058	mtfA	Cluster_64118
Operon41	ALBICJPK_00059	ppa	Cluster_121242
Operon42	ALBICJPK_00060	prtR	Cluster_67127
Operon43	ALBICJPK_00061	Unknown_Gene	Cluster_8885
Operon44	ALBICJPK_00062	pleD_2	Cluster_127836
Operon44	ALBICJPK_00063	rcsC_1	Cluster_127836
Operon45	ALBICJPK_00064	cheB_1	Cluster_144995
Operon46	ALBICJPK_00065	rssB_1	Cluster_94287
Operon47	ALBICJPK_00066	Unknown_Gene	Cluster_15086
Operon48	ALBICJPK_00067	Unknown_Gene	Cluster_21631
Operon49	ALBICJPK_00068	ribB	Cluster_21631
Operon50	ALBICJPK_00069	xseB	Cluster_75226
Operon50	ALBICJPK_00070	ispA	Cluster_75226
Operon51	ALBICJPK_00071	dxs	Cluster_69520
Operon52	ALBICJPK_00072	btuB_1	Cluster_8136
Operon53	ALBICJPK_00073	btuF	Cluster_67625
Operon53	ALBICJPK_00074	Unknown_Gene	Cluster_67625
Operon53	ALBICJPK_00075	Unknown_Gene	Cluster_67625
Operon54	ALBICJPK_00076	Unknown_Gene	Cluster_118441
Operon54	ALBICJPK_00077	pgpA	Cluster_118441
Operon54	ALBICJPK_00078	thiL	Cluster_118441
Operon54	ALBICJPK_00079	nusB	Cluster_118441
Operon54	ALBICJPK_00080	ribH	Cluster_118441
Operon55	ALBICJPK_00081	ribBA_1	Cluster_112135
Operon55	ALBICJPK_00082	ribE	Cluster_112135
Operon55	ALBICJPK_00083	ribD	Cluster_112135
Operon55	ALBICJPK_00084	nrdR	Cluster_112135
Operon56	ALBICJPK_00085	Unknown_Gene	Cluster_112135
Operon56	ALBICJPK_00086	Unknown_Gene	Cluster_112135
Operon56	ALBICJPK_00087	cnoX	Cluster_112135
Operon57	ALBICJPK_00088	Unknown_Gene	Cluster_95814
Operon58	ALBICJPK_00089	Unknown_Gene	Cluster_95814
Operon58	ALBICJPK_00090	ytrE	Cluster_95814
Operon58	ALBICJPK_00091	Unknown_Gene	Cluster_95814
Operon59	ALBICJPK_00092	Unknown_Gene	Cluster_98624
Operon60	ALBICJPK_00093	ompW	Cluster_107193
Operon61	ALBICJPK_00094	Unknown_Gene	Cluster_114470
Operon62	ALBICJPK_00095	Unknown_Gene	Cluster_114470
Operon63	ALBICJPK_00096	wbgU	Cluster_40539
Operon63	ALBICJPK_00097	rmlD	Cluster_40539
Operon64	ALBICJPK_00098	Unknown_Gene	Cluster_40539
Operon64	ALBICJPK_00099	yfcA_1	Cluster_40539
Operon64	ALBICJPK_00100	Unknown_Gene	Cluster_40539
Operon65	ALBICJPK_00101	Unknown_Gene	Cluster_68696
Operon66	ALBICJPK_00102	alsT	Cluster_68696
Operon67	ALBICJPK_00103	ansA	Cluster_136507
Operon68	ALBICJPK_00104	Unknown_Gene	Cluster_89956
Operon68	ALBICJPK_00105	selB	Cluster_89956
Operon68	ALBICJPK_00106	selA	Cluster_89956
Operon69	ALBICJPK_00107	fdhE	Cluster_85071
Operon69	ALBICJPK_00108	fdoI	Cluster_85071
Operon69	ALBICJPK_00109	fdoH	Cluster_85071
Operon69	ALBICJPK_00110	fdoG_1	Cluster_85071
Operon69	ALBICJPK_00111	fdoG_2	Cluster_85071
Operon70	ALBICJPK_00112	ydfG	Cluster_78819
Operon70	ALBICJPK_00113	yfcA_2	Cluster_78819
Operon71	ALBICJPK_00114	hisC_1	Cluster_78819
Operon72	ALBICJPK_00115	ssb	Cluster_96544
Operon72	ALBICJPK_00116	yajR	Cluster_96544
Operon73	ALBICJPK_00117	uvrA_1	Cluster_96544
Operon74	ALBICJPK_00118	bfr_1	Cluster_75817
Operon75	ALBICJPK_00119	cat	Cluster_71102
Operon76	ALBICJPK_00120	rplQ	Cluster_159047
Operon76	ALBICJPK_00121	rpoA	Cluster_159047
