GENES WITH MULTIPLE OCCURRENCES(Gene -> Occurrence)
Unknown_Gene	2071
*****************************************************
LOCUS TAG TO GENE LIST
Operon1	OMAKBKMK_00001	fatA	Cluster_100869
Operon2	OMAKBKMK_00002	Unknown_Gene	Cluster_119811
Operon3	OMAKBKMK_00003	Unknown_Gene	Cluster_130923
Operon4	OMAKBKMK_00004	bdcA	Cluster_104561
Operon5	OMAKBKMK_00005	dmlR_1	Cluster_104561
Operon6	OMAKBKMK_00006	Unknown_Gene	Cluster_95810
Operon6	OMAKBKMK_00007	Unknown_Gene	Cluster_95810
Operon7	OMAKBKMK_00008	Unknown_Gene	Cluster_95810
Operon7	OMAKBKMK_00009	efp	Cluster_95810
Operon8	OMAKBKMK_00010	ohrA	Cluster_87690
Operon9	OMAKBKMK_00011	ohrR	Cluster_148076
Operon10	OMAKBKMK_00012	dmlR_2	Cluster_133125
Operon11	OMAKBKMK_00013	Unknown_Gene	Cluster_133125
Operon12	OMAKBKMK_00014	yofA	Cluster_113573
Operon13	OMAKBKMK_00015	Unknown_Gene	Cluster_113573
Operon14	OMAKBKMK_00016	aroH	Cluster_104356
Operon15	OMAKBKMK_00017	speE_1	Cluster_104356
Operon16	OMAKBKMK_00018	deaD	Cluster_13614
Operon17	OMAKBKMK_00019	ygiD	Cluster_116344
Operon18	OMAKBKMK_00020	tpm	Cluster_116344
Operon19	OMAKBKMK_00021	htpX	Cluster_33742
Operon20	OMAKBKMK_00022	alaA	Cluster_73510
Operon21	OMAKBKMK_00023	msrB	Cluster_73510
Operon21	OMAKBKMK_00024	gpx1	Cluster_73510
Operon22	OMAKBKMK_00025	rcsC_1	Cluster_133763
Operon23	OMAKBKMK_00026	Unknown_Gene	Cluster_133763
Operon23	OMAKBKMK_00027	msrC	Cluster_133763
Operon24	OMAKBKMK_00028	Unknown_Gene	Cluster_29003
Operon25	OMAKBKMK_00029	Unknown_Gene	Cluster_29003
Operon25	OMAKBKMK_00030	Unknown_Gene	Cluster_29003
Operon26	OMAKBKMK_00031	Unknown_Gene	Cluster_122365
Operon26	OMAKBKMK_00032	Unknown_Gene	Cluster_122365
Operon27	OMAKBKMK_00033	Unknown_Gene	Cluster_125642
Operon28	OMAKBKMK_00034	Unknown_Gene	Cluster_41605
Operon28	OMAKBKMK_00035	fimD	Cluster_41605
Operon29	OMAKBKMK_00036	Unknown_Gene	Cluster_31646
Operon29	OMAKBKMK_00037	Unknown_Gene	Cluster_31646
Operon30	OMAKBKMK_00038	Unknown_Gene	Cluster_31646
Operon31	OMAKBKMK_00039	Unknown_Gene	Cluster_73145
Operon31	OMAKBKMK_00040	Unknown_Gene	Cluster_73145
Operon32	OMAKBKMK_00041	Unknown_Gene	Cluster_148285
Operon33	OMAKBKMK_00042	Unknown_Gene	Cluster_37666
Operon34	OMAKBKMK_00043	Unknown_Gene	Cluster_73144
Operon35	OMAKBKMK_00044	Unknown_Gene	Cluster_55071
Operon36	OMAKBKMK_00045	papD	Cluster_149106
Operon37	OMAKBKMK_00046	Unknown_Gene	Cluster_51877
Operon38	OMAKBKMK_00047	Unknown_Gene	Cluster_55703
Operon39	OMAKBKMK_00048	Unknown_Gene	Cluster_55703
Operon40	OMAKBKMK_00049	fadE	Cluster_60106
Operon41	OMAKBKMK_00050	gstB_1	Cluster_60106
Operon42	OMAKBKMK_00051	yadG	Cluster_86949
Operon42	OMAKBKMK_00052	yadH	Cluster_86949
Operon43	OMAKBKMK_00053	Unknown_Gene	Cluster_88653
Operon44	OMAKBKMK_00054	comEC	Cluster_88653
Operon45	OMAKBKMK_00055	tolQ_1	Cluster_136736
Operon45	OMAKBKMK_00056	tolR	Cluster_136736
