GENES WITH MULTIPLE OCCURRENCES(Gene -> Occurrence)
Unknown_Gene	2798
*****************************************************
LOCUS TAG TO GENE LIST
Operon1	LIHDPOLN_00001	nanT_1	Cluster_140235
Operon2	LIHDPOLN_00002	bphI	Cluster_139581
Operon2	LIHDPOLN_00003	bphJ	Cluster_139581
Operon2	LIHDPOLN_00004	tesE	Cluster_139581
Operon3	LIHDPOLN_00005	Unknown_Gene	Cluster_159237
Operon3	LIHDPOLN_00006	C1-hpah	Cluster_159237
Operon4	LIHDPOLN_00007	calB_1	Cluster_53351
Operon5	LIHDPOLN_00008	nylA	Cluster_144542
Operon6	LIHDPOLN_00009	hsaA	Cluster_94537
Operon7	LIHDPOLN_00010	Unknown_Gene	Cluster_123881
Operon7	LIHDPOLN_00011	Unknown_Gene	Cluster_123881
Operon7	LIHDPOLN_00012	kshB	Cluster_123881
Operon7	LIHDPOLN_00013	fadD3_1	Cluster_123881
Operon8	LIHDPOLN_00014	echA8_1	Cluster_84028
Operon9	LIHDPOLN_00015	fabG_1	Cluster_84028
Operon10	LIHDPOLN_00016	Unknown_Gene	Cluster_149405
Operon10	LIHDPOLN_00017	Unknown_Gene	Cluster_149405
Operon10	LIHDPOLN_00018	Unknown_Gene	Cluster_149405
Operon10	LIHDPOLN_00019	Unknown_Gene	Cluster_149405
Operon10	LIHDPOLN_00020	Unknown_Gene	Cluster_149405
Operon11	LIHDPOLN_00021	Unknown_Gene	Cluster_150936
Operon11	LIHDPOLN_00022	Unknown_Gene	Cluster_150936
Operon11	LIHDPOLN_00023	Unknown_Gene	Cluster_150936
Operon12	LIHDPOLN_00024	Unknown_Gene	Cluster_124659
Operon13	LIHDPOLN_00025	Unknown_Gene	Cluster_129384
Operon14	LIHDPOLN_00026	mhpC	Cluster_49996
Operon14	LIHDPOLN_00027	dgoT	Cluster_49996
Operon15	LIHDPOLN_00028	fabG_2	Cluster_49996
Operon15	LIHDPOLN_00029	linX	Cluster_49996
Operon15	LIHDPOLN_00030	Unknown_Gene	Cluster_49996
Operon15	LIHDPOLN_00031	nemA_1	Cluster_49996
Operon15	LIHDPOLN_00032	caiC	Cluster_49996
Operon15	LIHDPOLN_00033	gloB_1	Cluster_49996
Operon16	LIHDPOLN_00034	Unknown_Gene	Cluster_137470
Operon17	LIHDPOLN_00035	Unknown_Gene	Cluster_89675
Operon17	LIHDPOLN_00036	Unknown_Gene	Cluster_89675
Operon18	LIHDPOLN_00037	hsaC_1	Cluster_58479
Operon18	LIHDPOLN_00038	Unknown_Gene	Cluster_58479
Operon18	LIHDPOLN_00039	Unknown_Gene	Cluster_58479
Operon18	LIHDPOLN_00040	Unknown_Gene	Cluster_58479
Operon18	LIHDPOLN_00041	Unknown_Gene	Cluster_58479
Operon18	LIHDPOLN_00042	caiD_1	Cluster_58479
Operon18	LIHDPOLN_00043	Unknown_Gene	Cluster_58479
Operon18	LIHDPOLN_00044	carC	Cluster_58479
Operon18	LIHDPOLN_00045	fadA5	Cluster_58479
Operon18	LIHDPOLN_00046	hcaB_1	Cluster_58479
Operon19	LIHDPOLN_00047	fabG_3	Cluster_85797
Operon19	LIHDPOLN_00048	Unknown_Gene	Cluster_85797
Operon19	LIHDPOLN_00049	fadA_1	Cluster_85797
Operon20	LIHDPOLN_00050	hcf136_1	Cluster_112696
Operon20	LIHDPOLN_00051	Unknown_Gene	Cluster_112696
Operon20	LIHDPOLN_00052	Unknown_Gene	Cluster_112696
Operon21	LIHDPOLN_00053	hsdA	Cluster_94515
Operon21	LIHDPOLN_00054	fabG_4	Cluster_94515
Operon22	LIHDPOLN_00055	kshA	Cluster_99439
Operon22	LIHDPOLN_00056	Unknown_Gene	Cluster_99439
Operon23	LIHDPOLN_00057	rcsC_1	Cluster_67663
Operon24	LIHDPOLN_00058	Unknown_Gene	Cluster_116245
Operon25	LIHDPOLN_00059	Unknown_Gene	Cluster_30882
Operon26	LIHDPOLN_00060	Unknown_Gene	Cluster_30882
Operon27	LIHDPOLN_00061	ligK_1	Cluster_115585
Operon28	LIHDPOLN_00062	cmpR_1	Cluster_83250
Operon29	LIHDPOLN_00063	sauU	Cluster_83250
Operon30	LIHDPOLN_00064	ligK_2	Cluster_152887
Operon31	LIHDPOLN_00065	kgtP_1	Cluster_55479
Operon31	LIHDPOLN_00066	Unknown_Gene	Cluster_55479
Operon31	LIHDPOLN_00067	Unknown_Gene	Cluster_55479
Operon32	LIHDPOLN_00068	Unknown_Gene	Cluster_153931
Operon33	LIHDPOLN_00069	Unknown_Gene	Cluster_65084
Operon34	LIHDPOLN_00070	citE	Cluster_152430
Operon34	LIHDPOLN_00071	meh	Cluster_152430
Operon34	LIHDPOLN_00072	etfA_1	Cluster_152430
Operon34	LIHDPOLN_00073	etfB_1	Cluster_152430
Operon35	LIHDPOLN_00074	uctC_1	Cluster_149938
Operon36	LIHDPOLN_00075	Unknown_Gene	Cluster_136648
Operon37	LIHDPOLN_00076	Unknown_Gene	Cluster_9883
Operon37	LIHDPOLN_00077	Unknown_Gene	Cluster_9883
Operon38	LIHDPOLN_00078	dctA_1	Cluster_9883
Operon39	LIHDPOLN_00079	cynR_1	Cluster_87644
Operon40	LIHDPOLN_00080	kgtP_2	Cluster_36887
Operon41	LIHDPOLN_00081	alsT_1	Cluster_2837
Operon42	LIHDPOLN_00082	garD_1	Cluster_142798
Operon42	LIHDPOLN_00083	garP_1	Cluster_142798
Operon43	LIHDPOLN_00084	Unknown_Gene	Cluster_94516
