GCA_901482375.1_43295_G02_genomic GENE TO IGR ASSOCIATIONS

#######################################################################
SIGNIFICANT GENE CLUSTER ASSOCIATIONS OCCURRING >100x WITH FRACTION ASSOCIATED +15% HIGHER THAN EXPECTED
GENE	IGR	GENE_COUNT	ASSOC_COUNT	ASSOC_TOTAL(%)	ASSOC_EXPECTED(%)
yohK_1	Cluster_117958	198	59	29.798	2.703
cidA_1	Cluster_117958	197	61	30.964	3.125
folM	Cluster_52317	217	63	29.032	2.703
fabV	Cluster_31687	204	60	29.412	2.703
yjiA	Cluster_132135	159	46	28.931	3.333
btsT	Cluster_81663	191	49	25.654	3.226
radA	Cluster_68941	216	138	63.889	3.846
mscL	Cluster_68941	220	140	63.636	3.571
rlmG	Cluster_119631	214	139	64.953	4.0
cydB	Cluster_25102	169	51	30.178	4.0
cydA	Cluster_25102	166	49	29.518	3.846
entS_1	Cluster_25102	135	45	33.333	2.941
trmA	Cluster_49013	214	60	28.037	2.778
pcaG	Cluster_59591	206	39	18.932	3.448
pcaH	Cluster_59591	206	39	18.932	3.448
mcpS	Cluster_71875	190	61	32.105	3.448
ggt_1	Cluster_104828	201	59	29.353	2.222
mdaB	Cluster_75810	217	68	31.336	2.273
mmsB	Cluster_93948	207	144	69.565	6.25
mmsA	Cluster_93948	206	146	70.874	5.882
dgcN	Cluster_116834	199	59	29.648	2.326
lnrK	Cluster_68561	211	119	56.398	4.348
dgkA_1	Cluster_135079	11	6	54.545	33.333
sprT	Cluster_95131	201	86	42.786	3.571
yohC	Cluster_39863	74	50	67.568	10.0
ttcA	Cluster_39863	218	147	67.431	4.762
yfgD	Cluster_126260	216	131	60.648	9.091
resA_1	Cluster_126260	216	72	33.333	1.852
ldhA	Cluster_133574	213	47	22.066	2.0
barA	Cluster_82780	205	47	22.927	2.632
cseB	Cluster_82780	28	11	39.286	11.111
relA	Cluster_119625	214	62	28.972	3.704
mazG	Cluster_100031	215	46	21.395	2.5
fdhL	Cluster_30371	72	22	30.556	8.333
purN	Cluster_28750	214	50	23.364	2.941
purM	Cluster_28750	216	50	23.148	2.778
mepS	Cluster_97912	190	146	76.842	6.25
yjhB	Cluster_120372	93	36	38.71	5.0
pmdD	Cluster_120372	111	45	40.541	5.263
lplT	Cluster_79434	211	59	27.962	2.381
rdgC	Cluster_53093	173	77	44.509	3.704
nasD	Cluster_34394	192	47	24.479	2.5
nirD	Cluster_34394	195	47	24.103	2.439
ycgM_1	Cluster_52289	28	16	57.143	20.0
dgoT_1	Cluster_32997	20	5	25.0	9.091
prc	Cluster_89941	215	61	28.372	6.667
cysW_1	Cluster_96548	119	42	35.294	3.226
phnR	Cluster_27642	207	62	29.952	3.704
mscS_1	NO_CLUSTER_ASSOCIATION_FOUND	10	3	30.0	14.286
gucD	Cluster_119886	99	93	93.939	20.0
xecA1	Cluster_48214	153	58	37.908	3.846
PGdx	Cluster_48214	66	52	78.788	20.0
tsaR	Cluster_126663	125	47	37.6	4.762
hipO	Cluster_21425	60	18	30.0	5.0
xthA_1	Cluster_141134	198	35	17.677	1.818
menE	Cluster_104825	137	42	30.657	3.704
arsR2	Cluster_54248	154	56	36.364	2.857
prs2	Cluster_118051	73	52	71.233	12.5
sfnG	Cluster_25991	120	42	35.0	5.0
garR_1	Cluster_149300	23	6	26.087	6.667
ectB	Cluster_163325	18	6	33.333	11.111
acrE_1	Cluster_66254	15	6	40.0	14.286
mexB_1	Cluster_66254	26	6	23.077	6.667
tld	Cluster_13160	65	17	26.154	4.0
kpsF	Cluster_151885	72	16	22.222	3.125
wecB	Cluster_16499	101	23	22.772	3.448
pyrF	Cluster_66705	217	59	27.189	2.941
yfmJ	Cluster_69038	216	59	27.315	2.632
ydcO_1	Cluster_85749	197	48	24.365	2.174
yfcG_1	Cluster_85749	196	50	25.51	1.923
folE_1	Cluster_137635	103	43	41.748	4.167
smrA	Cluster_70943	179	36	20.112	2.041
sttH_1	Cluster_67596	182	84	46.154	3.03
prmB	Cluster_67596	220	146	66.364	4.167
hcaT	Cluster_88136	214	48	22.43	1.961
mtnD	Cluster_88136	219	48	21.918	1.887
corA	Cluster_139618	203	63	31.034	3.125
plsC	Cluster_102695	212	42	19.811	2.5
fadJ	Cluster_60115	132	59	44.697	4.0
ohrA	Cluster_88724	152	103	67.763	7.692
ohrR	Cluster_147625	210	83	39.524	4.545
yofA	Cluster_113573	131	117	89.313	8.333
aroH	Cluster_104356	205	84	40.976	3.704
speE	Cluster_104356	164	76	46.341	5.263
deaD	Cluster_24117	211	60	28.436	2.381
ygiD	Cluster_116160	202	48	23.762	3.704
tpm	Cluster_116160	214	56	26.168	4.167
alaA	Cluster_73834	215	153	71.163	5.882
msrB	Cluster_73834	199	143	71.859	6.25
