GENES WITH MULTIPLE OCCURRENCES(Gene -> Occurrence)
Unknown_Gene	2848
*****************************************************
LOCUS TAG TO GENE LIST
Operon1	LCEOCHIL_00001	pmpR_1	Cluster_106935
Operon2	LCEOCHIL_00002	aspS	Cluster_120361
Operon3	LCEOCHIL_00003	Unknown_Gene	Cluster_93039
Operon4	LCEOCHIL_00004	Unknown_Gene	Cluster_46681
Operon5	LCEOCHIL_00005	dps	Cluster_35779
Operon6	LCEOCHIL_00006	Unknown_Gene	Cluster_35779
Operon7	LCEOCHIL_00007	slyX	Cluster_4468
Operon7	LCEOCHIL_00008	Unknown_Gene	Cluster_4468
Operon8	LCEOCHIL_00009	oprD_1	Cluster_4468
Operon9	LCEOCHIL_00010	proS	Cluster_76846
Operon9	LCEOCHIL_00011	Unknown_Gene	Cluster_76846
Operon10	LCEOCHIL_00012	dinB	Cluster_54467
Operon11	LCEOCHIL_00013	Unknown_Gene	Cluster_54467
Operon12	LCEOCHIL_00014	Unknown_Gene	Cluster_93040
Operon13	LCEOCHIL_00015	Unknown_Gene	Cluster_40386
Operon13	LCEOCHIL_00016	Unknown_Gene	Cluster_40386
Operon14	LCEOCHIL_00017	kup_1	Cluster_47465
Operon15	LCEOCHIL_00018	rimO	Cluster_47465
Operon16	LCEOCHIL_00019	Unknown_Gene	Cluster_149520
Operon17	LCEOCHIL_00020	Unknown_Gene	Cluster_94222
Operon17	LCEOCHIL_00021	Unknown_Gene	Cluster_94222
Operon18	LCEOCHIL_00022	Unknown_Gene	Cluster_94222
Operon18	LCEOCHIL_00023	yjaB_1	Cluster_94222
Operon19	LCEOCHIL_00024	rluF	Cluster_132921
Operon19	LCEOCHIL_00025	Unknown_Gene	Cluster_132921
Operon19	LCEOCHIL_00026	trmO	Cluster_132921
Operon20	LCEOCHIL_00027	dctA2_1	Cluster_25257
Operon21	LCEOCHIL_00028	phoQ	Cluster_83408
Operon21	LCEOCHIL_00029	phoP_1	Cluster_83408
Operon22	LCEOCHIL_00030	Unknown_Gene	Cluster_95837
Operon23	LCEOCHIL_00031	Unknown_Gene	Cluster_95837
Operon24	LCEOCHIL_00032	entD	Cluster_69077
Operon25	LCEOCHIL_00033	sasA_1	Cluster_1846
Operon25	LCEOCHIL_00034	ompR_1	Cluster_1846
Operon26	LCEOCHIL_00035	Unknown_Gene	Cluster_1846
Operon27	LCEOCHIL_00036	nrdB	Cluster_44273
Operon28	LCEOCHIL_00037	Unknown_Gene	Cluster_60013
Operon29	LCEOCHIL_00038	Unknown_Gene	Cluster_39395
Operon30	LCEOCHIL_00039	Unknown_Gene	Cluster_39395
Operon31	LCEOCHIL_00040	Unknown_Gene	Cluster_142715
Operon32	LCEOCHIL_00041	Unknown_Gene	Cluster_136675
Operon33	LCEOCHIL_00042	dmlR_1	Cluster_21379
Operon34	LCEOCHIL_00043	hmp_1	Cluster_52298
Operon34	LCEOCHIL_00044	yfcG_1	Cluster_52298
Operon35	LCEOCHIL_00045	Unknown_Gene	Cluster_122876
Operon36	LCEOCHIL_00046	ansB_1	Cluster_278
Operon36	LCEOCHIL_00047	Unknown_Gene	Cluster_278
Operon36	LCEOCHIL_00048	Unknown_Gene	Cluster_278
Operon37	LCEOCHIL_00049	budB_1	NO_CLUSTER_ASSOCIATION_FOUND
Operon38	LCEOCHIL_00050	pal_1	Cluster_61639
Operon38	LCEOCHIL_00051	dgcN	Cluster_61639
Operon38	LCEOCHIL_00052	Unknown_Gene	Cluster_61639
Operon39	LCEOCHIL_00053	recD	NO_CLUSTER_ASSOCIATION_FOUND
Operon39	LCEOCHIL_00054	recB	NO_CLUSTER_ASSOCIATION_FOUND
Operon39	LCEOCHIL_00055	recC	NO_CLUSTER_ASSOCIATION_FOUND
Operon40	LCEOCHIL_00056	fusA	Cluster_168585
Operon40	LCEOCHIL_00057	rpsG	Cluster_168585
Operon41	LCEOCHIL_00058	rpsL	Cluster_55151
Operon42	LCEOCHIL_00059	rpoC	Cluster_142668
Operon43	LCEOCHIL_00060	rpoB	Cluster_52288
Operon44	LCEOCHIL_00061	rplL	Cluster_131227
Operon45	LCEOCHIL_00062	rplJ	Cluster_59633
Operon46	LCEOCHIL_00063	rplA	Cluster_103434
Operon46	LCEOCHIL_00064	rplK	Cluster_103434
Operon47	LCEOCHIL_00065	nusG	Cluster_143496
Operon48	LCEOCHIL_00066	secE	Cluster_158181
Operon48	LCEOCHIL_00067	Unknown_Gene	Cluster_158181
Operon49	LCEOCHIL_00068	Unknown_Gene	NO_CLUSTER_ASSOCIATION_FOUND
Operon50	LCEOCHIL_00069	Unknown_Gene	Cluster_10518
Operon51	LCEOCHIL_00070	ycaD_1	Cluster_10518
Operon52	LCEOCHIL_00071	ghrB_1	Cluster_147690
Operon52	LCEOCHIL_00072	ttuB_1	Cluster_147690
Operon53	LCEOCHIL_00073	kdgK	Cluster_139641
Operon53	LCEOCHIL_00074	Unknown_Gene	Cluster_139641
Operon54	LCEOCHIL_00075	kdgR_1	Cluster_37587
