GENES WITH MULTIPLE OCCURRENCES(Gene -> Occurrence)
Unknown_Gene	2523
*****************************************************
LOCUS TAG TO GENE LIST
Operon1	CPKLKDOD_00001	nanT_1	Cluster_140235
Operon2	CPKLKDOD_00002	bphI	Cluster_139581
Operon2	CPKLKDOD_00003	bphJ	Cluster_139581
Operon2	CPKLKDOD_00004	tesE	Cluster_139581
Operon3	CPKLKDOD_00005	Unknown_Gene	Cluster_159237
Operon3	CPKLKDOD_00006	C1-hpah_1	Cluster_159237
Operon4	CPKLKDOD_00007	calB_1	Cluster_53351
Operon5	CPKLKDOD_00008	nylA	Cluster_144542
Operon6	CPKLKDOD_00009	hsaA	Cluster_94537
Operon7	CPKLKDOD_00010	Unknown_Gene	Cluster_123881
Operon7	CPKLKDOD_00011	Unknown_Gene	Cluster_123881
Operon7	CPKLKDOD_00012	kshB	Cluster_123881
Operon7	CPKLKDOD_00013	fadD3_1	Cluster_123881
Operon8	CPKLKDOD_00014	echA8_1	Cluster_84028
Operon9	CPKLKDOD_00015	baiA_1	Cluster_84028
Operon10	CPKLKDOD_00016	Unknown_Gene	Cluster_149405
Operon10	CPKLKDOD_00017	Unknown_Gene	Cluster_149405
Operon10	CPKLKDOD_00018	Unknown_Gene	Cluster_149405
Operon10	CPKLKDOD_00019	Unknown_Gene	Cluster_149405
Operon10	CPKLKDOD_00020	Unknown_Gene	Cluster_149405
Operon11	CPKLKDOD_00021	Unknown_Gene	Cluster_150936
Operon11	CPKLKDOD_00022	Unknown_Gene	Cluster_150936
Operon11	CPKLKDOD_00023	Unknown_Gene	Cluster_150936
Operon12	CPKLKDOD_00024	Unknown_Gene	Cluster_124659
Operon13	CPKLKDOD_00025	Unknown_Gene	Cluster_129384
Operon14	CPKLKDOD_00026	mhpC	Cluster_49996
Operon14	CPKLKDOD_00027	nanT_2	Cluster_49996
Operon15	CPKLKDOD_00028	fabG_1	Cluster_49996
Operon15	CPKLKDOD_00029	linX	Cluster_49996
Operon15	CPKLKDOD_00030	Unknown_Gene	Cluster_49996
Operon15	CPKLKDOD_00031	nemA_1	Cluster_49996
Operon15	CPKLKDOD_00032	caiC	Cluster_49996
Operon15	CPKLKDOD_00033	gloB_1	Cluster_49996
Operon16	CPKLKDOD_00034	Unknown_Gene	Cluster_137470
Operon17	CPKLKDOD_00035	Unknown_Gene	Cluster_89675
Operon17	CPKLKDOD_00036	Unknown_Gene	Cluster_89675
Operon18	CPKLKDOD_00037	hsaC	Cluster_58479
Operon18	CPKLKDOD_00038	Unknown_Gene	Cluster_58479
Operon18	CPKLKDOD_00039	Unknown_Gene	Cluster_58479
Operon18	CPKLKDOD_00040	Unknown_Gene	Cluster_58479
Operon18	CPKLKDOD_00041	Unknown_Gene	Cluster_58479
Operon18	CPKLKDOD_00042	echA8_2	Cluster_58479
Operon18	CPKLKDOD_00043	Unknown_Gene	Cluster_58479
Operon18	CPKLKDOD_00044	mmgC_1	Cluster_58479
Operon18	CPKLKDOD_00045	fadA5	Cluster_58479
Operon18	CPKLKDOD_00046	hcaB_1	Cluster_58479
Operon19	CPKLKDOD_00047	fabG_2	Cluster_85797
Operon19	CPKLKDOD_00048	Unknown_Gene	Cluster_85797
Operon19	CPKLKDOD_00049	fadA_1	Cluster_85797
Operon20	CPKLKDOD_00050	hcf136_1	Cluster_88212
Operon20	CPKLKDOD_00051	Unknown_Gene	Cluster_88212
Operon20	CPKLKDOD_00052	Unknown_Gene	Cluster_88212
Operon21	CPKLKDOD_00053	hsdA	Cluster_94515
Operon21	CPKLKDOD_00054	fabG_3	Cluster_94515
Operon22	CPKLKDOD_00055	kshA	Cluster_99439
Operon22	CPKLKDOD_00056	Unknown_Gene	Cluster_99439
Operon23	CPKLKDOD_00057	nfrA1	Cluster_95966
Operon24	CPKLKDOD_00058	rcsC_1	Cluster_116270
Operon25	CPKLKDOD_00059	Unknown_Gene	Cluster_123907
Operon26	CPKLKDOD_00060	Unknown_Gene	Cluster_67685
Operon27	CPKLKDOD_00061	Unknown_Gene	Cluster_67685
Operon28	CPKLKDOD_00062	kgtP_1	Cluster_50958
Operon28	CPKLKDOD_00063	ghrB_1	Cluster_50958
Operon29	CPKLKDOD_00064	Unknown_Gene	Cluster_153931
Operon30	CPKLKDOD_00065	Unknown_Gene	Cluster_65084
Operon31	CPKLKDOD_00066	citE	Cluster_152430
Operon31	CPKLKDOD_00067	meh	Cluster_152430
Operon31	CPKLKDOD_00068	etfA_1	Cluster_152430
Operon31	CPKLKDOD_00069	etfB_1	Cluster_152430
Operon32	CPKLKDOD_00070	uctC_1	Cluster_149439
Operon33	CPKLKDOD_00071	Unknown_Gene	Cluster_136648
Operon34	CPKLKDOD_00072	Unknown_Gene	Cluster_9883
Operon34	CPKLKDOD_00073	Unknown_Gene	Cluster_9883
Operon35	CPKLKDOD_00074	dctA_1	Cluster_9883
Operon36	CPKLKDOD_00075	cynR_1	Cluster_87644
Operon37	CPKLKDOD_00076	kgtP_2	Cluster_36887
Operon38	CPKLKDOD_00077	alsT_1	Cluster_126746
Operon39	CPKLKDOD_00078	menH_1	Cluster_124679
Operon40	CPKLKDOD_00079	benM_1	Cluster_112006
Operon41	CPKLKDOD_00080	ligK	Cluster_112006
Operon41	CPKLKDOD_00081	Unknown_Gene	Cluster_112006
Operon41	CPKLKDOD_00082	proA_1	Cluster_112006
Operon41	CPKLKDOD_00083	aatA	Cluster_112006
Operon42	CPKLKDOD_00084	Unknown_Gene	Cluster_34688
Operon43	CPKLKDOD_00085	Unknown_Gene	NO_CLUSTER_ASSOCIATION_FOUND
Operon44	CPKLKDOD_00086	Unknown_Gene	Cluster_9430
Operon44	CPKLKDOD_00087	Unknown_Gene	Cluster_9430
Operon44	CPKLKDOD_00088	pncC_1	Cluster_9430
Operon45	CPKLKDOD_00089	Unknown_Gene	Cluster_9430
Operon45	CPKLKDOD_00090	Unknown_Gene	Cluster_9430
Operon46	CPKLKDOD_00091	hipO_1	Cluster_26133
Operon46	CPKLKDOD_00092	proP_1	Cluster_26133
Operon47	CPKLKDOD_00093	tsaR_1	Cluster_88744
Operon48	CPKLKDOD_00094	dmlR_1	Cluster_153852
Operon49	CPKLKDOD_00095	Unknown_Gene	Cluster_47845
