GENES WITH MULTIPLE OCCURRENCES(Gene -> Occurrence)
Unknown_Gene	2222
*****************************************************
LOCUS TAG TO GENE LIST
Operon1	JLPMBEPE_00001	xerC_1	Cluster_29991
Operon2	JLPMBEPE_00002	dinG_1	Cluster_50777
Operon2	JLPMBEPE_00003	fan1	Cluster_50777
Operon3	JLPMBEPE_00004	lgoT_1	Cluster_124348
Operon4	JLPMBEPE_00005	Unknown_Gene	Cluster_34578
Operon4	JLPMBEPE_00006	hcxB	Cluster_34578
Operon4	JLPMBEPE_00007	garD_1	Cluster_34578
Operon5	JLPMBEPE_00008	gbpR_1	Cluster_169266
Operon5	JLPMBEPE_00009	gbpR_2	Cluster_169266
Operon6	JLPMBEPE_00010	Unknown_Gene	Cluster_116163
Operon7	JLPMBEPE_00011	ttuB_1	Cluster_142843
Operon8	JLPMBEPE_00012	Unknown_Gene	Cluster_10679
Operon8	JLPMBEPE_00013	Unknown_Gene	Cluster_10679
Operon9	JLPMBEPE_00014	ppsC_1	Cluster_57249
Operon10	JLPMBEPE_00015	nodD2_1	Cluster_57249
Operon11	JLPMBEPE_00016	linX_1	Cluster_88213
Operon12	JLPMBEPE_00017	dmlR_1	Cluster_88213
Operon13	JLPMBEPE_00018	benM_1	Cluster_69235
Operon14	JLPMBEPE_00019	Unknown_Gene	Cluster_69235
Operon14	JLPMBEPE_00020	thadh_1	Cluster_69235
Operon15	JLPMBEPE_00021	Unknown_Gene	Cluster_144970
Operon16	JLPMBEPE_00022	gltI_1	Cluster_25749
Operon17	JLPMBEPE_00023	gltJ_1	Cluster_129591
Operon17	JLPMBEPE_00024	gltK_1	Cluster_129591
Operon17	JLPMBEPE_00025	glnQ_1	Cluster_129591
Operon18	JLPMBEPE_00026	hdfR_1	Cluster_40940
Operon19	JLPMBEPE_00027	Unknown_Gene	Cluster_122663
Operon20	JLPMBEPE_00028	triA	Cluster_49866
Operon21	JLPMBEPE_00029	oprB_1	Cluster_99584
Operon22	JLPMBEPE_00030	adhB_1	Cluster_46482
Operon22	JLPMBEPE_00031	Unknown_Gene	Cluster_46482
Operon22	JLPMBEPE_00032	Unknown_Gene	Cluster_46482
Operon23	JLPMBEPE_00033	Unknown_Gene	Cluster_137678
Operon24	JLPMBEPE_00034	Unknown_Gene	Cluster_141421
Operon24	JLPMBEPE_00035	Unknown_Gene	Cluster_141421
Operon25	JLPMBEPE_00036	Unknown_Gene	Cluster_73126
Operon26	JLPMBEPE_00037	Unknown_Gene	Cluster_162111
Operon26	JLPMBEPE_00038	gudP_1	Cluster_162111
Operon27	JLPMBEPE_00039	dgoD_1	Cluster_76980
Operon28	JLPMBEPE_00040	gntR_1	Cluster_21397
Operon29	JLPMBEPE_00041	Unknown_Gene	Cluster_21397
Operon30	JLPMBEPE_00042	Unknown_Gene	Cluster_126253
Operon30	JLPMBEPE_00043	Unknown_Gene	Cluster_126253
Operon31	JLPMBEPE_00044	aes_1	Cluster_141420
Operon32	JLPMBEPE_00045	nicP_1	Cluster_156612
Operon32	JLPMBEPE_00046	yphB_1	Cluster_156612
Operon33	JLPMBEPE_00047	gci	Cluster_128929
Operon33	JLPMBEPE_00048	udh_1	Cluster_128929
Operon34	JLPMBEPE_00049	exuT_1	Cluster_128250
Operon35	JLPMBEPE_00050	Unknown_Gene	Cluster_72041
Operon35	JLPMBEPE_00051	aldH	Cluster_72041
Operon35	JLPMBEPE_00052	Unknown_Gene	Cluster_72041
Operon35	JLPMBEPE_00053	Unknown_Gene	Cluster_72041
