GENES WITH MULTIPLE OCCURRENCES(Gene -> Occurrence)
Unknown_Gene	1963
*****************************************************
LOCUS TAG TO GENE LIST
Operon1	BCBAIBPD_00001	maeB	Cluster_69611
Operon2	BCBAIBPD_00002	Unknown_Gene	Cluster_73456
Operon2	BCBAIBPD_00003	rpmE	Cluster_73456
Operon3	BCBAIBPD_00004	priA	Cluster_73456
Operon4	BCBAIBPD_00005	argS	Cluster_63991
Operon4	BCBAIBPD_00006	ftsN	Cluster_63991
Operon5	BCBAIBPD_00007	Unknown_Gene	Cluster_74832
Operon6	BCBAIBPD_00008	Unknown_Gene	Cluster_74832
Operon7	BCBAIBPD_00009	pilT	Cluster_142835
Operon8	BCBAIBPD_00010	yggS	Cluster_142835
Operon8	BCBAIBPD_00011	proC	Cluster_142835
Operon8	BCBAIBPD_00012	Unknown_Gene	Cluster_142835
Operon9	BCBAIBPD_00013	metXS	Cluster_125345
Operon9	BCBAIBPD_00014	Unknown_Gene	Cluster_125345
Operon9	BCBAIBPD_00015	Unknown_Gene	Cluster_125345
Operon9	BCBAIBPD_00016	rdgB	Cluster_125345
Operon9	BCBAIBPD_00017	hemW	Cluster_125345
Operon9	BCBAIBPD_00018	Unknown_Gene	Cluster_125345
Operon10	BCBAIBPD_00019	trmB	Cluster_151760
Operon10	BCBAIBPD_00020	thiG	Cluster_151760
Operon11	BCBAIBPD_00021	Unknown_Gene	Cluster_115572
Operon12	BCBAIBPD_00022	Unknown_Gene	Cluster_143653
Operon13	BCBAIBPD_00023	mtgA	Cluster_143653
Operon14	BCBAIBPD_00024	rpoH	Cluster_108454
Operon15	BCBAIBPD_00025	ftsX	Cluster_48480
Operon15	BCBAIBPD_00026	ftsE	Cluster_48480
Operon15	BCBAIBPD_00027	ftsY	Cluster_48480
Operon16	BCBAIBPD_00028	Unknown_Gene	Cluster_48480
Operon16	BCBAIBPD_00029	Unknown_Gene	Cluster_48480
Operon16	BCBAIBPD_00030	rsmD	Cluster_48480
Operon17	BCBAIBPD_00031	Unknown_Gene	Cluster_138181
Operon17	BCBAIBPD_00032	Unknown_Gene	Cluster_138181
Operon18	BCBAIBPD_00033	Unknown_Gene	Cluster_126562
Operon19	BCBAIBPD_00034	sseB	Cluster_163426
Operon19	BCBAIBPD_00035	Unknown_Gene	Cluster_163426
Operon20	BCBAIBPD_00036	coaD	Cluster_60040
Operon21	BCBAIBPD_00037	fdx_1	Cluster_110529
Operon22	BCBAIBPD_00038	mutM	Cluster_91827
Operon22	BCBAIBPD_00039	Unknown_Gene	Cluster_91827
Operon23	BCBAIBPD_00040	yhbO_1	Cluster_91827
Operon24	BCBAIBPD_00041	rlmI	Cluster_141224
Operon25	BCBAIBPD_00042	Unknown_Gene	Cluster_13106
Operon26	BCBAIBPD_00043	ilvD	Cluster_13106
Operon27	BCBAIBPD_00044	Unknown_Gene	Cluster_46024
Operon28	BCBAIBPD_00045	tcyP	Cluster_46024
Operon29	BCBAIBPD_00046	folA	Cluster_150966
Operon30	BCBAIBPD_00047	Unknown_Gene	Cluster_150966
Operon30	BCBAIBPD_00048	Unknown_Gene	Cluster_150966
Operon31	BCBAIBPD_00049	cadA_1	Cluster_130109
Operon32	BCBAIBPD_00050	merR1	Cluster_130109
Operon33	BCBAIBPD_00051	thyA	Cluster_153943
Operon33	BCBAIBPD_00052	lgt	Cluster_153943
Operon33	BCBAIBPD_00053	Unknown_Gene	Cluster_153943
Operon34	BCBAIBPD_00054	Unknown_Gene	Cluster_98033
Operon35	BCBAIBPD_00055	ptsP	Cluster_83461
Operon35	BCBAIBPD_00056	rppH_1	Cluster_83461
Operon36	BCBAIBPD_00057	Unknown_Gene	Cluster_107786
Operon37	BCBAIBPD_00058	ilvA_1	Cluster_94309
Operon38	BCBAIBPD_00059	rpiA	Cluster_94309
Operon39	BCBAIBPD_00060	yjiK_1	Cluster_126064
Operon40	BCBAIBPD_00061	yjiK_2	Cluster_76696
Operon41	BCBAIBPD_00062	ycgM	Cluster_72337
Operon41	BCBAIBPD_00063	Unknown_Gene	Cluster_72337
Operon42	BCBAIBPD_00064	serA	Cluster_72337
Operon43	BCBAIBPD_00065	Unknown_Gene	Cluster_58481
Operon44	BCBAIBPD_00066	Unknown_Gene	Cluster_102811
Operon45	BCBAIBPD_00067	Unknown_Gene	Cluster_102811
Operon46	BCBAIBPD_00068	menH_1	Cluster_101913
Operon47	BCBAIBPD_00069	Unknown_Gene	Cluster_101913
Operon48	BCBAIBPD_00070	maa	Cluster_78268
Operon49	BCBAIBPD_00071	metQ_1	Cluster_70882
Operon50	BCBAIBPD_00072	sfnR_1	Cluster_145832
Operon51	BCBAIBPD_00073	Unknown_Gene	Cluster_80450
Operon52	BCBAIBPD_00074	cysA	Cluster_128773
Operon52	BCBAIBPD_00075	cysW	Cluster_128773
Operon52	BCBAIBPD_00076	cysT_1	Cluster_128773
Operon53	BCBAIBPD_00077	sbp_1	Cluster_154442
Operon54	BCBAIBPD_00078	Unknown_Gene	Cluster_3478
Operon55	BCBAIBPD_00079	czcA_1	Cluster_38367
Operon55	BCBAIBPD_00080	mdtA_1	Cluster_38367
Operon55	BCBAIBPD_00081	mdtE	Cluster_38367
Operon56	BCBAIBPD_00082	ydcV	Cluster_139733
Operon56	BCBAIBPD_00083	potH	Cluster_139733
Operon56	BCBAIBPD_00084	potA_1	Cluster_139733
Operon57	BCBAIBPD_00085	spuE_1	Cluster_64318
Operon58	BCBAIBPD_00086	spuD_1	Cluster_72816
Operon59	BCBAIBPD_00087	spuC_1	Cluster_155429
Operon59	BCBAIBPD_00088	puuA_1	Cluster_155429
Operon60	BCBAIBPD_00089	Unknown_Gene	Cluster_37042
Operon61	BCBAIBPD_00090	puuA_2	Cluster_37042
Operon62	BCBAIBPD_00091	argA	Cluster_99998
Operon63	BCBAIBPD_00092	argE	Cluster_107570
Operon64	BCBAIBPD_00093	Unknown_Gene	Cluster_107570
Operon65	BCBAIBPD_00094	decR_1	Cluster_99873
Operon66	BCBAIBPD_00095	Unknown_Gene	Cluster_99873
Operon67	BCBAIBPD_00096	Unknown_Gene	Cluster_95026
Operon68	BCBAIBPD_00097	Unknown_Gene	Cluster_128067
Operon69	BCBAIBPD_00098	gcvH_1	Cluster_153153
Operon70	BCBAIBPD_00099	gcvT_1	Cluster_92485
Operon71	BCBAIBPD_00100	Unknown_Gene	Cluster_135166
Operon72	BCBAIBPD_00101	Unknown_Gene	Cluster_88611
Operon73	BCBAIBPD_00102	ubiI	Cluster_160210
Operon73	BCBAIBPD_00103	Unknown_Gene	Cluster_160210
Operon73	BCBAIBPD_00104	ubiH	Cluster_160210
Operon73	BCBAIBPD_00105	pepP	Cluster_160210
Operon73	BCBAIBPD_00106	Unknown_Gene	Cluster_160210
Operon74	BCBAIBPD_00107	Unknown_Gene	Cluster_85864
Operon74	BCBAIBPD_00108	zapA	Cluster_85864
Operon75	BCBAIBPD_00109	ygfA	Cluster_37038
Operon76	BCBAIBPD_00110	Unknown_Gene	Cluster_69110
Operon77	BCBAIBPD_00111	Unknown_Gene	Cluster_69110
Operon78	BCBAIBPD_00112	Unknown_Gene	Cluster_78996
Operon79	BCBAIBPD_00113	qorA_1	Cluster_78996
Operon80	BCBAIBPD_00114	chaC	Cluster_39341
Operon81	BCBAIBPD_00115	ascD	Cluster_71932
Operon81	BCBAIBPD_00116	ubiD	Cluster_71932
Operon82	BCBAIBPD_00117	rho	Cluster_48867
Operon83	BCBAIBPD_00118	trxA	Cluster_41410
Operon84	BCBAIBPD_00119	ppx	Cluster_41410
Operon85	BCBAIBPD_00120	ppk	Cluster_54772
Operon86	BCBAIBPD_00121	yohD	Cluster_54772
Operon87	BCBAIBPD_00122	elbB	Cluster_116280
Operon88	BCBAIBPD_00123	Unknown_Gene	Cluster_140221
Operon89	BCBAIBPD_00124	Unknown_Gene	Cluster_140221
Operon90	BCBAIBPD_00125	rnk	Cluster_9694
Operon91	BCBAIBPD_00126	cyaY	Cluster_44922
Operon92	BCBAIBPD_00127	Unknown_Gene	Cluster_44922
Operon92	BCBAIBPD_00128	lysA_1	Cluster_44922
Operon92	BCBAIBPD_00129	dapF	Cluster_44922
Operon92	BCBAIBPD_00130	Unknown_Gene	Cluster_44922
Operon92	BCBAIBPD_00131	xerC_1	Cluster_44922
Operon92	BCBAIBPD_00132	yigB	Cluster_44922
Operon93	BCBAIBPD_00133	sutA	Cluster_10743
Operon94	BCBAIBPD_00134	amtB	Cluster_155554
Operon94	BCBAIBPD_00135	glnK	Cluster_155554
Operon95	BCBAIBPD_00136	ubiK	Cluster_22743
Operon96	BCBAIBPD_00137	Unknown_Gene	Cluster_48443
Operon97	BCBAIBPD_00138	comM	Cluster_48443
Operon98	BCBAIBPD_00139	Unknown_Gene	Cluster_105477
Operon98	BCBAIBPD_00140	fabG_1	Cluster_105477
Operon99	BCBAIBPD_00141	dmlR_1	Cluster_96452
Operon100	BCBAIBPD_00142	nfdA_1	Cluster_133018
Operon101	BCBAIBPD_00143	Unknown_Gene	Cluster_163425
Operon101	BCBAIBPD_00144	Unknown_Gene	Cluster_163425
Operon102	BCBAIBPD_00145	ycaC	Cluster_51567
Operon103	BCBAIBPD_00146	Unknown_Gene	Cluster_51567
Operon104	BCBAIBPD_00147	puuB_1	Cluster_78443
Operon105	BCBAIBPD_00148	gabD	Cluster_93815
Operon106	BCBAIBPD_00149	gcvA_1	Cluster_93815
Operon107	BCBAIBPD_00150	Unknown_Gene	Cluster_91259
