GENES WITH MULTIPLE OCCURRENCES(Gene -> Occurrence)
Unknown_Gene	2439
*****************************************************
LOCUS TAG TO GENE LIST
Operon1	BOHGMGJN_00001	asd	Cluster_143500
Operon2	BOHGMGJN_00002	leuB	Cluster_150147
Operon3	BOHGMGJN_00003	COQ5	Cluster_104138
Operon4	BOHGMGJN_00004	leuD1	Cluster_95132
Operon4	BOHGMGJN_00005	leuC	Cluster_95132
Operon5	BOHGMGJN_00006	cmpR_1	Cluster_95132
Operon6	BOHGMGJN_00007	Unknown_Gene	Cluster_144407
Operon7	BOHGMGJN_00008	ibpB	Cluster_6544
Operon8	BOHGMGJN_00009	dusC	Cluster_152575
Operon9	BOHGMGJN_00010	Unknown_Gene	Cluster_114013
Operon10	BOHGMGJN_00011	rutD_1	Cluster_72686
Operon10	BOHGMGJN_00012	Unknown_Gene	Cluster_72686
Operon11	BOHGMGJN_00013	Unknown_Gene	Cluster_159350
Operon11	BOHGMGJN_00014	Unknown_Gene	Cluster_159350
Operon12	BOHGMGJN_00015	Unknown_Gene	Cluster_159544
Operon12	BOHGMGJN_00016	Unknown_Gene	Cluster_159544
Operon13	BOHGMGJN_00017	Unknown_Gene	Cluster_136511
Operon14	BOHGMGJN_00018	Unknown_Gene	Cluster_24466
Operon15	BOHGMGJN_00019	gltX	Cluster_87052
Operon16	BOHGMGJN_00020	emrA_1	Cluster_87052
Operon16	BOHGMGJN_00021	emrB_1	Cluster_87052
Operon17	BOHGMGJN_00022	uvrB	Cluster_34934
Operon18	BOHGMGJN_00023	tyrB_1	Cluster_34934
Operon19	BOHGMGJN_00024	Unknown_Gene	Cluster_144390
Operon20	BOHGMGJN_00025	Unknown_Gene	Cluster_25635
Operon21	BOHGMGJN_00026	Unknown_Gene	Cluster_140159
Operon21	BOHGMGJN_00027	Unknown_Gene	Cluster_140159
Operon22	BOHGMGJN_00028	moaA_1	Cluster_41380
Operon23	BOHGMGJN_00029	Unknown_Gene	Cluster_4883
Operon24	BOHGMGJN_00030	ycfH	Cluster_168592
Operon24	BOHGMGJN_00031	Unknown_Gene	Cluster_168592
Operon24	BOHGMGJN_00032	tmk_1	Cluster_168592
Operon24	BOHGMGJN_00033	mltG	Cluster_168592
Operon24	BOHGMGJN_00034	pabC	Cluster_168592
Operon24	BOHGMGJN_00035	fabF_1	Cluster_168592
Operon25	BOHGMGJN_00036	acpP_1	Cluster_58142
Operon26	BOHGMGJN_00037	fabG_1	Cluster_97916
Operon26	BOHGMGJN_00038	fabD	Cluster_97916
Operon27	BOHGMGJN_00039	plsX	Cluster_165612
Operon27	BOHGMGJN_00040	rpmF	Cluster_165612
Operon27	BOHGMGJN_00041	yceD	Cluster_165612
Operon28	BOHGMGJN_00042	yceF	Cluster_119628
Operon29	BOHGMGJN_00043	Unknown_Gene	Cluster_2178
Operon29	BOHGMGJN_00044	ppaX	Cluster_2178
Operon29	BOHGMGJN_00045	rluC	Cluster_2178
Operon30	BOHGMGJN_00046	rne	Cluster_2178
Operon31	BOHGMGJN_00047	Unknown_Gene	Cluster_143504
Operon32	BOHGMGJN_00048	Unknown_Gene	Cluster_8171
Operon32	BOHGMGJN_00049	Unknown_Gene	Cluster_8171
Operon33	BOHGMGJN_00050	murB	Cluster_105623
Operon33	BOHGMGJN_00051	Unknown_Gene	Cluster_105623
Operon33	BOHGMGJN_00052	kdsB_1	Cluster_105623
Operon33	BOHGMGJN_00053	Unknown_Gene	Cluster_105623
Operon33	BOHGMGJN_00054	lpxK	Cluster_105623
Operon33	BOHGMGJN_00055	tolR	Cluster_105623
Operon33	BOHGMGJN_00056	tolQ_1	Cluster_105623
Operon34	BOHGMGJN_00057	Unknown_Gene	Cluster_88160
Operon35	BOHGMGJN_00058	Unknown_Gene	Cluster_88160
Operon36	BOHGMGJN_00059	yadH	Cluster_86949
Operon36	BOHGMGJN_00060	yadG	Cluster_86949
Operon37	BOHGMGJN_00061	gstB_1	Cluster_18485
Operon38	BOHGMGJN_00062	fadE	Cluster_18485
Operon39	BOHGMGJN_00063	Unknown_Gene	Cluster_131040
Operon40	BOHGMGJN_00064	Unknown_Gene	Cluster_52891
Operon41	BOHGMGJN_00065	yadV_1	Cluster_132191
Operon42	BOHGMGJN_00066	Unknown_Gene	Cluster_146041
Operon43	BOHGMGJN_00067	Unknown_Gene	Cluster_96633
Operon43	BOHGMGJN_00068	Unknown_Gene	Cluster_96633
Operon44	BOHGMGJN_00069	Unknown_Gene	Cluster_33926
