GENES WITH MULTIPLE OCCURRENCES(Gene -> Occurrence)
Unknown_Gene	2937
*****************************************************
LOCUS TAG TO GENE LIST
Operon1	HFFFMDPO_00001	dctA2_1	Cluster_135791
Operon2	HFFFMDPO_00002	ybhH	Cluster_85110
Operon3	HFFFMDPO_00003	cynR_1	Cluster_85110
Operon4	HFFFMDPO_00004	Unknown_Gene	Cluster_81699
Operon5	HFFFMDPO_00005	Unknown_Gene	Cluster_17852
Operon6	HFFFMDPO_00006	mtlD	Cluster_17852
Operon7	HFFFMDPO_00007	fadA_1	Cluster_114807
Operon7	HFFFMDPO_00008	Unknown_Gene	Cluster_114807
Operon7	HFFFMDPO_00009	adh1_1	Cluster_114807
Operon7	HFFFMDPO_00010	dmdC_1	Cluster_114807
Operon7	HFFFMDPO_00011	fadB_1	Cluster_114807
Operon8	HFFFMDPO_00012	pcpR_1	Cluster_114807
Operon9	HFFFMDPO_00013	yjcS	Cluster_116161
Operon10	HFFFMDPO_00014	Unknown_Gene	Cluster_54030
Operon10	HFFFMDPO_00015	yidH	Cluster_54030
Operon10	HFFFMDPO_00016	Unknown_Gene	Cluster_54030
Operon10	HFFFMDPO_00017	Unknown_Gene	Cluster_54030
Operon11	HFFFMDPO_00018	gltC_1	Cluster_54030
Operon12	HFFFMDPO_00019	sauU	Cluster_144391
Operon13	HFFFMDPO_00020	carC_1	Cluster_120659
Operon13	HFFFMDPO_00021	lcfB	Cluster_120659
Operon14	HFFFMDPO_00022	fucA	Cluster_120659
Operon14	HFFFMDPO_00023	dapA_1	Cluster_120659
Operon15	HFFFMDPO_00024	ydcO_1	Cluster_83969
Operon16	HFFFMDPO_00025	Unknown_Gene	Cluster_146864
Operon17	HFFFMDPO_00026	Unknown_Gene	Cluster_49034
Operon18	HFFFMDPO_00027	Unknown_Gene	Cluster_49034
Operon18	HFFFMDPO_00028	Unknown_Gene	Cluster_49034
Operon18	HFFFMDPO_00029	Unknown_Gene	Cluster_49034
Operon18	HFFFMDPO_00030	Unknown_Gene	Cluster_49034
Operon18	HFFFMDPO_00031	Unknown_Gene	Cluster_49034
